"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"Representative in Congress","LISA BLUNT ROCHESTER","Democratic Party","2022-11-08T00:00:00.000","127059","16736","34621","178416","55.4692","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","LEE MURPHY","Republican Party","2022-11-08T00:00:00.000","112482","5706","20013","138201","42.9664","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","CODY MCNUTT","Libertarian Party","2022-11-08T00:00:00.000","2726","129","219","3074","0.9557","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","DAVID ROGERS","Non-Partisan Delaware","2022-11-08T00:00:00.000","1565","168","225","1958","0.608738","2022-11-12T00:25:01.000","2022 General Election"
"Attorney General","KATHY JENNINGS","Democratic Party","2022-11-08T00:00:00.000","122087","16162","33588","171837","53.8326","2022-11-12T00:25:01.000","2022 General Election"
"Attorney General","JULIANNE E. MURRAY","Republican Party","2022-11-08T00:00:00.000","119946","6256","21167","147369","46.1674","2022-11-12T00:25:01.000","2022 General Election"
"Auditor of Accounts","LYDIA YORK","Democratic Party","2022-11-08T00:00:00.000","122043","16237","33484","171764","54.197","2022-11-12T00:25:01.000","2022 General Election"
"Auditor of Accounts","JANICE LORRAH","Republican Party","2022-11-08T00:00:00.000","118077","6116","20968","145161","45.803","2022-11-12T00:25:01.000","2022 General Election"
"State Treasurer","COLLEEN DAVIS","Democratic Party","2022-11-08T00:00:00.000","121002","16123","33313","170438","53.6399","2022-11-12T00:25:01.000","2022 General Election"
"State Treasurer","GREG COVERDALE","Republican Party","2022-11-08T00:00:00.000","119836","6246","21225","147307","46.3601","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 1","SARAH MCBRIDE","Democratic Party","2022-11-08T00:00:00.000","10132","1073","1999","13204","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 2","DARIUS J. BROWN","Democratic Party","2022-11-08T00:00:00.000","6341","538","810","7689","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 3","S. ELIZABETH LOCKMAN","Democratic Party","2022-11-08T00:00:00.000","4548","430","736","5714","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 4","LAURA STURGEON","Democratic Party","2022-11-08T00:00:00.000","8500","996","1266","10762","56.5796","2022-11-12T00:25:01.000","2022 General Election"
