ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/8/2022	REP	Republican	USS	United States Senator	ALA	Alachua			64	64	Rubio	Marco		39220
11/8/2022	REP	Republican	USS	United States Senator	BAK	Baker			9	9	Rubio	Marco		9431
11/8/2022	REP	Republican	USS	United States Senator	BAY	Bay			27	27	Rubio	Marco		51657
11/8/2022	REP	Republican	USS	United States Senator	BRA	Bradford			0	0	Rubio	Marco		8156
11/8/2022	REP	Republican	USS	United States Senator	BRE	Brevard			171	171	Rubio	Marco		165233
11/8/2022	REP	Republican	USS	United States Senator	BRO	Broward			355	355	Rubio	Marco		238962
11/8/2022	REP	Republican	USS	United States Senator	CAL	Calhoun			0	0	Rubio	Marco		4067
11/8/2022	REP	Republican	USS	United States Senator	CHA	Charlotte			75	75	Rubio	Marco		63845
11/8/2022	REP	Republican	USS	United States Senator	CIT	Citrus			31	31	Rubio	Marco		55087
11/8/2022	REP	Republican	USS	United States Senator	CLA	Clay			48	48	Rubio	Marco		65972
11/8/2022	REP	Republican	USS	United States Senator	CLL	Collier			0	0	Rubio	Marco		116050
11/8/2022	REP	Republican	USS	United States Senator	CLM	Columbia			29	29	Rubio	Marco		18344
11/8/2022	REP	Republican	USS	United States Senator	DES	Desoto			0	0	Rubio	Marco		6469
11/8/2022	REP	Republican	USS	United States Senator	DIX	Dixie			9	9	Rubio	Marco		5225
11/8/2022	REP	Republican	USS	United States Senator	DUV	Duval			186	186	Rubio	Marco		177401
11/8/2022	REP	Republican	USS	United States Senator	ESC	Escambia			0	0	Rubio	Marco		73225
11/8/2022	REP	Republican	USS	United States Senator	FLA	Flagler			0	0	Rubio	Marco		37934
11/8/2022	REP	Republican	USS	United States Senator	FRA	Franklin			6	6	Rubio	Marco		3885
11/8/2022	REP	Republican	USS	United States Senator	GAD	Gadsden			25	25	Rubio	Marco		6086
