ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/23/2022	REP	Republican	USR	United States Representative	ESC	Escambia	001		79	79	Gaetz	Matt		25212
8/23/2022	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Gaetz	Matt		20677
8/23/2022	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Gaetz	Matt		20932
8/23/2022	REP	Republican	USR	United States Representative	WAL	Walton	001		14	14	Gaetz	Matt		6553
8/23/2022	REP	Republican	USR	United States Representative	ESC	Escambia	001		79	79	Lombardo	Mark		9901
8/23/2022	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Lombardo	Mark		7482
8/23/2022	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Lombardo	Mark		6439
8/23/2022	REP	Republican	USR	United States Representative	WAL	Walton	001		14	14	Lombardo	Mark		1898
8/23/2022	REP	Republican	USR	United States Representative	ESC	Escambia	001		79	79	Merk	Greg		2341
8/23/2022	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Merk	Greg		1723
8/23/2022	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Merk	Greg		1551
8/23/2022	REP	Republican	USR	United States Representative	WAL	Walton	001		14	14	Merk	Greg		555
8/23/2022	REP	Republican	USR	United States Representative	ALA	Alachua	003		66	66	Cammack	Kat		13793
8/23/2022	REP	Republican	USR	United States Representative	BAK	Baker	003		0	0	Cammack	Kat		3212
8/23/2022	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Cammack	Kat		3408
8/23/2022	REP	Republican	USR	United States Representative	CLM	Columbia	003		29	29	Cammack	Kat		5444
8/23/2022	REP	Republican	USR	United States Representative	DIX	Dixie	003		10	10	Cammack	Kat		2062
8/23/2022	REP	Republican	USR	United States Representative	GIL	Gilchrist	003		10	10	Cammack	Kat		2962
8/23/2022	REP	Republican	USR	United States Representative	HAM	Hamilton	003		0	0	Cammack	Kat		994
8/23/2022	REP	Republican	USR	United States Representative	LAF	Lafayette	003		5	5	Cammack	Kat		1218
8/23/2022	REP	Republican	USR	United States Representative	LEV	Levy	003		13	13	Cammack	Kat		5577
8/23/2022	REP	Republican	USR	United States Representative	MRN	Marion	003		61	61	Cammack	Kat		18426
8/23/2022	REP	Republican	USR	United States Representative	SUW	Suwannee	003		16	16	Cammack	Kat		4683
8/23/2022	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Cammack	Kat		1500
8/23/2022	REP	Republican	USR	United States Representative	ALA	Alachua	003		66	66	Waters	Justin		1910
8/23/2022	REP	Republican	USR	United States Representative	BAK	Baker	003		0	0	Waters	Justin		984
8/23/2022	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Waters	Justin		343
8/23/2022	REP	Republican	USR	United States Representative	CLM	Columbia	003		29	29	Waters	Justin		860
8/23/2022	REP	Republican	USR	United States Representative	DIX	Dixie	003		10	10	Waters	Justin		248
8/23/2022	REP	Republican	USR	United States Representative	GIL	Gilchrist	003		10	10	Waters	Justin		296
8/23/2022	REP	Republican	USR	United States Representative	HAM	Hamilton	003		0	0	Waters	Justin		304
8/23/2022	REP	Republican	USR	United States Representative	LAF	Lafayette	003		5	5	Waters	Justin		236
8/23/2022	REP	Republican	USR	United States Representative	LEV	Levy	003		13	13	Waters	Justin		784
8/23/2022	REP	Republican	USR	United States Representative	MRN	Marion	003		61	61	Waters	Justin		3585
8/23/2022	REP	Republican	USR	United States Representative	SUW	Suwannee	003		16	16	Waters	Justin		1330
8/23/2022	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Waters	Justin		142
8/23/2022	REP	Republican	USR	United States Representative	CLA	Clay	004		48	48	Aguilar	Erick		7786
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	004		95	95	Aguilar	Erick		6566
8/23/2022	REP	Republican	USR	United States Representative	NAS	Nassau	004		18	18	Aguilar	Erick		4253
8/23/2022	REP	Republican	USR	United States Representative	CLA	Clay	004		48	48	Bean	Aaron		18496
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	004		95	95	Bean	Aaron		20286
8/23/2022	REP	Republican	USR	United States Representative	NAS	Nassau	004		18	18	Bean	Aaron		10278
8/23/2022	REP	Republican	USR	United States Representative	CLA	Clay	004		48	48	Chuba	Jon		1933
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	004		95	95	Chuba	Jon		1629
8/23/2022	REP	Republican	USR	United States Representative	NAS	Nassau	004		18	18	Chuba	Jon		826
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	005		92	92	Lopez	Leigha	'Luna'	15286
8/23/2022	REP	Republican	USR	United States Representative	STJ	St. Johns	005		0	0	Lopez	Leigha	'Luna'	6997
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	005		92	92	Macie	Mara	H.	14627
8/23/2022	REP	Republican	USR	United States Representative	STJ	St. Johns	005		0	0	Macie	Mara	H.	8980
8/23/2022	REP	Republican	USR	United States Representative	DUV	Duval	005		92	92	Rutherford	John	H.	58813
8/23/2022	REP	Republican	USR	United States Representative	STJ	St. Johns	005		0	0	Rutherford	John	H.	28907
8/23/2022	REP	Republican	USR	United States Representative	FLA	Flagler	006		22	22	Davis	Charles	E.	3190
8/23/2022	REP	Republican	USR	United States Representative	LAK	Lake	006		30	30	Davis	Charles	E.	2396
8/23/2022	REP	Republican	USR	United States Representative	MRN	Marion	006		45	45	Davis	Charles	E.	5018
8/23/2022	REP	Republican	USR	United States Representative	PUT	Putnam	006		37	37	Davis	Charles	E.	3039
8/23/2022	REP	Republican	USR	United States Representative	STJ	St. Johns	006		0	0	Davis	Charles	E.	1659
8/23/2022	REP	Republican	USR	United States Representative	VOL	Volusia	006		63	63	Davis	Charles	E.	3873
8/23/2022	REP	Republican	USR	United States Representative	FLA	Flagler	006		22	22	Waltz	Michael		13134
8/23/2022	REP	Republican	USR	United States Representative	LAK	Lake	006		30	30	Waltz	Michael		8842
8/23/2022	REP	Republican	USR	United States Representative	MRN	Marion	006		45	45	Waltz	Michael		13069
8/23/2022	REP	Republican	USR	United States Representative	PUT	Putnam	006		37	37	Waltz	Michael		5519
