ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/5/2024	REP	Republican	PRE	President of the United States	ALA	Alachua			63	63	Vance	Trump	/	52939
11/5/2024	REP	Republican	PRE	President of the United States	BAK	Baker			9	9	Vance	Trump	/	12926
11/5/2024	REP	Republican	PRE	President of the United States	BAY	Bay			29	29	Vance	Trump	/	71497
11/5/2024	REP	Republican	PRE	President of the United States	BRA	Bradford			13	13	Vance	Trump	/	10920
11/5/2024	REP	Republican	PRE	President of the United States	BRE	Brevard			163	163	Vance	Trump	/	216533
11/5/2024	REP	Republican	PRE	President of the United States	BRO	Broward			358	358	Vance	Trump	/	358952
11/5/2024	REP	Republican	PRE	President of the United States	CAL	Calhoun			10	10	Vance	Trump	/	5367
11/5/2024	REP	Republican	PRE	President of the United States	CHA	Charlotte			82	82	Vance	Trump	/	82480
11/5/2024	REP	Republican	PRE	President of the United States	CIT	Citrus			32	32	Vance	Trump	/	71356
11/5/2024	REP	Republican	PRE	President of the United States	CLA	Clay			48	48	Vance	Trump	/	87711
11/5/2024	REP	Republican	PRE	President of the United States	CLL	Collier			67	67	Vance	Trump	/	143267
11/5/2024	REP	Republican	PRE	President of the United States	CLM	Columbia			28	28	Vance	Trump	/	25108
11/5/2024	REP	Republican	PRE	President of the United States	DES	Desoto			15	15	Vance	Trump	/	8888
11/5/2024	REP	Republican	PRE	President of the United States	DIX	Dixie			10	10	Vance	Trump	/	6920
11/5/2024	REP	Republican	PRE	President of the United States	DUV	Duval			160	160	Vance	Trump	/	236285
11/5/2024	REP	Republican	PRE	President of the United States	ESC	Escambia			80	80	Vance	Trump	/	96407
11/5/2024	REP	Republican	PRE	President of the United States	FLA	Flagler			21	21	Vance	Trump	/	51014
11/5/2024	REP	Republican	PRE	President of the United States	FRA	Franklin			2	2	Vance	Trump	/	4831
11/5/2024	REP	Republican	PRE	President of the United States	GAD	Gadsden			25	25	Vance	Trump	/	7495
11/5/2024	REP	Republican	PRE	President of the United States	GIL	Gilchrist			10	10	Vance	Trump	/	8931
11/5/2024	REP	Republican	PRE	President of the United States	GLA	Glades			13	13	Vance	Trump	/	4034
11/5/2024	REP	Republican	PRE	President of the United States	GUL	Gulf			10	10	Vance	Trump	/	6684
11/5/2024	REP	Republican	PRE	President of the United States	HAM	Hamilton			8	8	Vance	Trump	/	3964
11/5/2024	REP	Republican	PRE	President of the United States	HAR	Hardee			12	12	Vance	Trump	/	6336
11/5/2024	REP	Republican	PRE	President of the United States	HEN	Hendry			10	10	Vance	Trump	/	9253
11/5/2024	REP	Republican	PRE	President of the United States	HER	Hernando			32	32	Vance	Trump	/	75446
11/5/2024	REP	Republican	PRE	President of the United States	HIG	Highlands			25	25	Vance	Trump	/	36382
11/5/2024	REP	Republican	PRE	President of the United States	HIL	Hillsborough			448	448	Vance	Trump	/	342017
11/5/2024	REP	Republican	PRE	President of the United States	HOL	Holmes			8	8	Vance	Trump	/	8193
11/5/2024	REP	Republican	PRE	President of the United States	IND	Indian River			34	34	Vance	Trump	/	62737
