summary 2
line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num Area total,num Area rptg,over votes,under votes
1,United States Senator (Vote For 1),Chuck Grassley,REP,681501,56.01,0,1230417,99,99,0,0
2,United States Senator (Vote For 1),Michael Franken,DEM,533330,43.84,0,1230417,99,99,0,0
3,United States Senator (Vote For 1),Write-in,,1815,0.15,0,1230417,99,99,0,0
4,United States Representative District 1 (Vote For 1),Mariannette Miller-Meeks,REP,162947,53.36,0,309736,20,20,0,0
5,United States Representative District 1 (Vote For 1),Christina Bohannan,DEM,142173,46.56,0,309736,20,20,0,0
6,United States Representative District 1 (Vote For 1),Write-in,,260,0.09,0,309736,20,20,0,0
7,United States Representative District 2 (Vote For 1),Ashley Hinson,REP,172181,54.08,0,321508,22,22,0,0
8,United States Representative District 2 (Vote For 1),Liz Mathis,DEM,145940,45.84,0,321508,22,22,0,0
9,United States Representative District 2 (Vote For 1),Write-in,,278,0.09,0,321508,22,22,0,0
10,United States Representative District 3 (Vote For 1),Zach Nunn,REP,156262,50.26,0,315039,21,21,0,0
11,United States Representative District 3 (Vote For 1),Cindy Axne,DEM,154117,49.57,0,315039,21,21,0,0
12,United States Representative District 3 (Vote For 1),Write-in,,534,0.17,0,315039,21,21,0,0
13,United States Representative District 4 (Vote For 1),Randy Feenstra,REP,186467,67.31,0,284134,36,36,0,0
14,United States Representative District 4 (Vote For 1),Ryan Melton,DEM,84230,30.41,0,284134,36,36,0,0
15,United States Representative District 4 (Vote For 1),Bryan Jack Holder,LBC,6035,2.18,0,284134,36,36,0,0
16,United States Representative District 4 (Vote For 1),Write-in,,276,0.10,0,284134,36,36,0,0
17,Governor and Lt. Governor (Vote For 1),Kim Reynolds and Adam Gregg,REP,709198,58.04,0,1230417,99,99,0,0
18,Governor and Lt. Governor (Vote For 1),Deidre DeJear and Eric Van Lancker,DEM,482950,39.53,0,1230417,99,99,0,0
19,Governor and Lt. Governor (Vote For 1),Rick Stewart and Marco Battaglia,LIB,28998,2.37,0,1230417,99,99,0,0
20,Governor and Lt. Governor (Vote For 1),Write-in,,718,0.06,0,1230417,99,99,0,0
21,Secretary of State (Vote For 1),Paul D. Pate,REP,723250,60.05,0,1230417,99,99,0,0
22,Secretary of State (Vote For 1),Joel Miller,DEM,480474,39.89,0,1230417,99,99,0,0
23,Secretary of State (Vote For 1),Write-in,,708,0.06,0,1230417,99,99,0,0
24,Auditor of State (Vote For 1),Todd Halbur,REP,597826,49.84,0,1230417,99,99,0,0
25,Auditor of State (Vote For 1),Rob Sand,DEM,600719,50.09,0,1230417,99,99,0,0
26,Auditor of State (Vote For 1),Write-in,,826,0.07,0,1230417,99,99,0,0
27,Treasurer of State (Vote For 1),Roby Smith,REP,614943,51.26,0,1230417,99,99,0,0
28,Treasurer of State (Vote For 1),Michael L. Fitzgerald,DEM,584021,48.68,0,1230417,99,99,0,0
29,Treasurer of State (Vote For 1),Write-in,,667,0.06,0,1230417,99,99,0,0
30,Secretary of Agriculture (Vote For 1),Mike Naig,REP,730285,61.13,0,1230417,99,99,0,0
31,Secretary of Agriculture (Vote For 1),John Norwood,DEM,463652,38.81,0,1230417,99,99,0,0
32,Secretary of Agriculture (Vote For 1),Write-in,,770,0.06,0,1230417,99,99,0,0
33,Attorney General (Vote For 1),Brenna Bird,REP,611432,50.82,0,1230417,99,99,0,0
34,Attorney General (Vote For 1),Tom Miller,DEM,590890,49.11,0,1230417,99,99,0,0
35,Attorney General (Vote For 1),Write-in,,801,0.07,0,1230417,99,99,0,0
36,State Senator District 1 (Vote For 1),Rocky De Witt,REP,7700,55.06,0,14230,1,1,0,0
37,State Senator District 1 (Vote For 1),Jackie Smith,DEM,6256,44.73,0,14230,1,1,0,0
38,State Senator District 1 (Vote For 1),Write-in,,30,0.21,0,14230,1,1,0,0
39,State Senator District 3 (Vote For 1),Lynn Evans,REP,17609,99.14,0,21708,5,5,0,0
40,State Senator District 3 (Vote For 1),Write-in,,152,0.86,0,21708,5,5,0,0
41,State Senator District 4 (Vote For 1),Tim Kraayenbrink,REP,18408,97.75,0,23006,4,4,0,0
42,State Senator District 4 (Vote For 1),Write-in,,424,2.25,0,23006,4,4,0,0
43,State Senator District 5 (Vote For 1),Dave Rowley,REP,22597,98.54,0,27592,6,6,0,0
44,State Senator District 5 (Vote For 1),Write-in,,335,1.46,0,27592,6,6,0,0
45,State Senator District 6 (Vote For 1),Jason Schultz,REP,17509,82.90,0,23614,6,6,0,0
46,State Senator District 6 (Vote For 1),David M. Davis,LIB,3549,16.80,0,23614,6,6,0,0
47,State Senator District 6 (Vote For 1),Write-in,,62,0.29,0,23614,6,6,0,0
48,State Senator District 7 (Vote For 1),Kevin Alons,REP,18470,97.99,0,23621,4,4,0,0
49,State Senator District 7 (Vote For 1),Write-in,,379,2.01,0,23621,4,4,0,0
50,State Senator District 9 (Vote For 1),Tom Shipley,REP,18106,76.85,0,24176,7,7,0,0
51,State Senator District 9 (Vote For 1),Tripp Narup,DEM,5436,23.07,0,24176,7,7,0,0
52,State Senator District 9 (Vote For 1),Write-in,,17,0.07,0,24176,7,7,0,0
53,State Senator District 11 (Vote For 1),Julian B. Garrett,REP,16941,61.59,0,28282,2,2,0,0
54,State Senator District 11 (Vote For 1),Lisa Fleishman,DEM,10542,38.32,0,28282,2,2,0,0
55,State Senator District 11 (Vote For 1),Write-in,,25,0.09,0,28282,2,2,0,0
56,State Senator District 13 (Vote For 1),Cherielynn Westrich,REP,13336,64.89,0,21067,4,4,0,0
