summary
line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num Area total,num Area rptg,over votes,under votes
1,President and Vice President (Vote For 1),Kamala D. Harris and Tim Walz,DEM,707278,42.52,0,1674011,99,99,0,0
2,President and Vice President (Vote For 1),Donald J. Trump and JD Vance,REP,927019,55.73,0,1674011,99,99,0,0
3,President and Vice President (Vote For 1),Chase Oliver and Mike ter Maat,LIB,7218,0.43,0,1674011,99,99,0,0
4,President and Vice President (Vote For 1),Shiva Ayyadurai and Crystal Ellis,,424,0.03,0,1674011,99,99,0,0
5,President and Vice President (Vote For 1),Claudia De la Cruz and Karina Garcia,PSL,1427,0.09,0,1674011,99,99,0,0
6,President and Vice President (Vote For 1),William P. Stodden and Stephanie H. Cholensky,SOC,361,0.02,0,1674011,99,99,0,0
7,President and Vice President (Vote For 1),Robert F. Kennedy Jr and Nicole Shanahan,WTP,13122,0.79,0,1674011,99,99,0,0
8,President and Vice President (Vote For 1),Write-in,,6657,0.40,0,1674011,99,99,0,0
9,United States Representative District 1 (Vote For 1),Christina Bohannan,DEM,206156,49.79,0,427338,20,20,0,0
10,United States Representative District 1 (Vote For 1),Mariannette Miller-Meeks,REP,206955,49.98,0,427338,20,20,0,0
11,United States Representative District 1 (Vote For 1),Write-in,,967,0.23,0,427338,20,20,0,0
12,United States Representative District 2 (Vote For 1),Sarah Corkery,DEM,169740,41.52,0,424019,22,22,0,0
13,United States Representative District 2 (Vote For 1),Ashley Hinson,REP,233340,57.08,0,424019,22,22,0,0
14,United States Representative District 2 (Vote For 1),Jody Madlom Puffett,,5381,1.32,0,424019,22,22,0,0
15,United States Representative District 2 (Vote For 1),Write-in,,341,0.08,0,424019,22,22,0,0
16,United States Representative District 3 (Vote For 1),Lanon Baccam,DEM,197962,47.94,0,426546,21,21,0,0
17,United States Representative District 3 (Vote For 1),Zach Nunn,REP,213746,51.77,0,426546,21,21,0,0
18,United States Representative District 3 (Vote For 1),Write-in,,1197,0.29,0,426546,21,21,0,0
19,United States Representative District 4 (Vote For 1),Ryan Melton,DEM,122175,32.68,0,396108,36,36,0,0
20,United States Representative District 4 (Vote For 1),Randy Feenstra,REP,250522,67.02,0,396108,36,36,0,0
21,United States Representative District 4 (Vote For 1),Write-in,,1127,0.30,0,396108,36,36,0,0
22,State Senator District 2 (Vote For 1),Jeff Taylor,REP,27438,99.11,0,34415,3,3,0,0
23,State Senator District 2 (Vote For 1),Write-in,,245,0.89,0,34415,3,3,0,0
24,State Senator District 4 (Vote For 1),Tim Kraayenbrink,REP,23727,97.81,0,31044,4,4,0,0
25,State Senator District 4 (Vote For 1),Write-in,,531,2.19,0,31044,4,4,0,0
26,State Senator District 6 (Vote For 1),Jason Schultz,REP,23108,80.98,0,32468,6,6,0,0
27,State Senator District 6 (Vote For 1),David M. Davis,LIB,5337,18.70,0,32468,6,6,0,0
28,State Senator District 6 (Vote For 1),Write-in,,90,0.32,0,32468,6,6,0,0
29,State Senator District 8 (Vote For 1),Ryan Lee Roenfeld,DEM,10432,29.32,0,37960,4,4,0,0
30,State Senator District 8 (Vote For 1),Mark Costello,REP,25069,70.47,0,37960,4,4,0,0
31,State Senator District 8 (Vote For 1),Write-in,,73,0.21,0,37960,4,4,0,0
32,State Senator District 10 (Vote For 1),Steve Gorman,DEM,10842,43.88,0,25810,1,1,0,0
33,State Senator District 10 (Vote For 1),Dan Dawson,REP,13840,56.01,0,25810,1,1,0,0
34,State Senator District 10 (Vote For 1),Write-in,,27,0.11,0,25810,1,1,0,0
35,State Senator District 12 (Vote For 1),Nicole Loew,DEM,9682,29.52,0,34592,9,9,0,0
36,State Senator District 12 (Vote For 1),Amy Sinclair,REP,23075,70.35,0,34592,9,9,0,0
37,State Senator District 12 (Vote For 1),Write-in,,43,0.13,0,34592,9,9,0,0
38,State Senator District 14 (Vote For 1),Sarah Trone Garriott,DEM,20467,49.96,0,42455,1,1,0,0
39,State Senator District 14 (Vote For 1),Mark A. Hanson,REP,20438,49.89,0,42455,1,1,0,0
40,State Senator District 14 (Vote For 1),Write-in,,59,0.14,0,42455,1,1,0,0
41,State Senator District 16 (Vote For 1),Claire Celsi,DEM,21557,69.46,0,36373,2,2,0,0
42,State Senator District 16 (Vote For 1),Joshua Smith,LIB,9184,29.59,0,36373,2,2,0,0
43,State Senator District 16 (Vote For 1),Write-in,,296,0.95,0,36373,2,2,0,0
44,State Senator District 18 (Vote For 1),Janet Petersen,DEM,25564,97.09,0,34196,1,1,0,0
45,State Senator District 18 (Vote For 1),Write-in,,766,2.91,0,34196,1,1,0,0
46,State Senator District 20 (Vote For 1),Nate Boulton,DEM,15600,49.82,0,33014,1,1,0,0
47,State Senator District 20 (Vote For 1),Mike Pike,REP,15644,49.96,0,33014,1,1,0,0
48,State Senator District 20 (Vote For 1),Write-in,,66,0.21,0,33014,1,1,0,0
49,State Senator District 22 (Vote For 1),Matt Blake,DEM,19128,52.37,0,37765,1,1,0,0
50,State Senator District 22 (Vote For 1),Brad Zaun,REP,17336,47.46,0,37765,1,1,0,0
51,State Senator District 22 (Vote For 1),Write-in,,64,0.18,0,37765,1,1,0,0
52,State Senator District 24 (Vote For 1),Margaret Liston,DEM,12580,37.40,0,35754,5,5,0,0
53,State Senator District 24 (Vote For 1),Jesse Green,REP,21004,62.45,0,35754,5,5,0,0
54,State Senator District 24 (Vote For 1),Write-in,,50,0.15,0,35754,5,5,0,0
55,State Senator District 26 (Vote For 1),Mike Wolfe,DEM,12121,40.22,0,31638,2,2,0,0
56,State Senator District 26 (Vote For 1),Kara Warme,REP,17967,59.62,0,31638,2,2,0,0
57,State Senator District 26 (Vote For 1),Write-in,,48,0.16,0,31638,2,2,0,0
58,State Senator District 28 (Vote For 1),Cynthia Oppedal Paschen,DEM,9302,30.45,0,32983,6,6,0,0
59,State Senator District 28 (Vote For 1),Dennis Guth,REP,21185,69.36,0,32983,6,6,0,0
60,State Senator District 28 (Vote For 1),Write-in,,58,0.19,0,32983,6,6,0,0
61,State Senator District 30 (Vote For 1),Richard Lorence,DEM,12762,38.57,0,34784,4,4,0,0
62,State Senator District 30 (Vote For 1),Doug Campbell,REP,20272,61.26,0,34784,4,4,0,0
63,State Senator District 30 (Vote For 1),Write-in,,58,0.18,0,34784,4,4,0,0
64,State Senator District 32 (Vote For 1),Brian Bruening,DEM,12080,35.32,0,35723,6,6,0,0
65,State Senator District 32 (Vote For 1),Mike Klimesh,REP,22097,64.60,0,35723,6,6,0,0
66,State Senator District 32 (Vote For 1),Write-in,,27,0.08,0,35723,6,6,0,0
67,State Senator District 34 (Vote For 1),Joe Hegland,DEM,10937,33.21,0,34441,5,5,0,0
68,State Senator District 34 (Vote For 1),Dan Zumbach,REP,21962,66.68,0,34441,5,5,0,0
69,State Senator District 34 (Vote For 1),Write-in,,36,0.11,0,34441,5,5,0,0
70,State Senator District 36 (Vote For 1),Thomas Townsend,DEM,15274,50.45,0,31804,1,1,0,0
71,State Senator District 36 (Vote For 1),Nicholas Molo,REP,14958,49.41,0,31804,1,1,0,0
72,State Senator District 36 (Vote For 1),Write-in,,43,0.14,0,31804,1,1,0,0
73,State Senator District 38 (Vote For 1),Eric Giddens,DEM,16846,49.38,0,35553,3,3,0,0
74,State Senator District 38 (Vote For 1),Dave Sires,REP,17232,50.51,0,35553,3,3,0,0
75,State Senator District 38 (Vote For 1),Write-in,,38,0.11,0,35553,3,3,0,0
76,State Senator District 40 (Vote For 1),Art Staed,DEM,18157,55.10,0,34402,1,1,0,0
77,State Senator District 40 (Vote For 1),Kris G Gulick,REP,14763,44.80,0,34402,1,1,0,0
78,State Senator District 40 (Vote For 1),Write-in,,30,0.09,0,34402,1,1,0,0
79,State Senator District 42 (Vote For 1),Charlie McClintock,REP,27726,97.22,0,61176,2,2,0,0
80,State Senator District 42 (Vote For 1),Write-in,,792,2.78,0,61176,2,2,0,0
81,State Senator District 44 (Vote For 1),Adrian Dickey,REP,19207,68.32,0,32307,5,5,0,0
82,State Senator District 44 (Vote For 1),Lisa Ossian,,8826,31.39,0,32307,5,5,0,0
83,State Senator District 44 (Vote For 1),Write-in,,81,0.29,0,32307,5,5,0,0
84,State Senator District 46 (Vote For 1),Ed Chabal,DEM,13769,39.22,0,38102,3,3,0,0
85,State Senator District 46 (Vote For 1),Dawn Driscoll,REP,21299,60.67,0,38102,3,3,0,0
86,State Senator District 46 (Vote For 1),Write-in,,38,0.11,0,38102,3,3,0,0
87,State Senator District 48 (Vote For 1),John Dabeet,DEM,10281,34.18,0,31471,4,4,0,0
88,State Senator District 48 (Vote For 1),Mark S. Lofgren,REP,19755,65.67,0,31471,4,4,0,0
89,State Senator District 48 (Vote For 1),Write-in,,45,0.15,0,31471,4,4,0,0
90,State Senator District 50 (Vote For 1),Nannette Griffin,DEM,11869,41.42,0,30516,2,2,0,0
91,State Senator District 50 (Vote For 1),Jeff Reichman,REP,16735,58.40,0,30516,2,2,0,0
92,State Senator District 50 (Vote For 1),Write-in,,50,0.17,0,30516,2,2,0,0
93,State Representative District 1 (Vote For 1),J.D. Scholten,DEM,4615,53.40,0,9308,1,1,0,0
94,State Representative District 1 (Vote For 1),Josh Steinhoff,REP,4017,46.48,0,9308,1,1,0,0
95,State Representative District 1 (Vote For 1),Write-in,,11,0.13,0,9308,1,1,0,0
96,State Representative District 2 (Vote For 1),Jessica Lopez-Walker,DEM,4613,39.22,0,12630,1,1,0,0
97,State Representative District 2 (Vote For 1),Robert Henderson,REP,7130,60.62,0,12630,1,1,0,0
98,State Representative District 2 (Vote For 1),Write-in,,18,0.15,0,12630,1,1,0,0
99,State Representative District 3 (Vote For 1),Emma Bouza,DEM,3236,21.19,0,16853,2,2,0,0
100,State Representative District 3 (Vote For 1),Thomas Jeneary,REP,12012,78.65,0,16853,2,2,0,0
101,State Representative District 3 (Vote For 1),Write-in,,24,0.16,0,16853,2,2,0,0
102,State Representative District 4 (Vote For 1),Skyler Wheeler,REP,14292,98.13,0,17562,2,2,0,0
103,State Representative District 4 (Vote For 1),Write-in,,272,1.87,0,17562,2,2,0,0
