elections-2022
County,Office,Candidate,Party,District,Votes
,State Senator,Andrea Hunley,Democratic,46,19503
,State Senator,Bryan Muñoz,Democratic,41,11729
,State Senator,David A Sanders,Democratic,23,11523
,State Senator,J.D. Ford,Democratic,29,22670
,State Senator,Jeff Hill,Democratic,48,12456
,State Senator,Jocelyn Vare,Democratic,31,22839
,State Senator,Joe Swisher,Democratic,17,9146
,State Senator,Josh Lowry,Democratic,21,16148
,State Senator,Kathleen Forte,Democratic,47,14404
,State Senator,Melanie M. Wright,Democratic,26,14450
,State Senator,Melinda (Mindy) Fountain,Democratic,11,14327
,State Senator,Michael W. Griffin,Democratic,1,21392
,State Senator,Nick Marshall,Democratic,45,15746
,State Senator,Rodney Pol Jr.,Democratic,4,20295
,State Senator,Ronald Itnyre,Democratic,27,10553
,State Senator,Tamie Dixon-Tatum,Democratic,25,13447
,State Senator,Zach Heimach,Democratic,14,10123
,State Senator,Alex Choi,Republican,29,21200
,State Senator,Andy Zay,Republican,17,27512
,State Senator,Chip Perfect,Republican,43,30804
,State Senator,Chris Garten,Republican,45,25767
,State Senator,Daniel E. Dernulc,Republican,1,23486
,State Senator,Elizabeth (Liz) Brown,Republican,15,29588
,State Senator,Eric Bassler,Republican,39,31128
,State Senator,Evan Russell Shearin,Republican,46,7238
,State Senator,Gary Byrne,Republican,47,28959
,State Senator,Greg Walker,Republican,41,24698
,State Senator,James R. Buck,Republican,21,28675
,State Senator,Jeff Larson,Republican,4,18500
,State Senator,Jeffrey S. Raatz,Republican,27,26040
,State Senator,Jim Tomes,Republican,49,26320
,State Senator,Jon Ford,Republican,38,27510
,State Senator,Kyle Walker,Republican,31,28397
,State Senator,Linda Rogers,Republican,11,23037
,State Senator,Mark Messmer,Republican,48,32564
,State Senator,Mike Gaskill,Republican,25,23967
,State Senator,Rick Niemeyer,Republican,6,32366
,State Senator,Ronnie J. Alting,Republican,22,24342
,State Senator,Scott Alexander,Republican,26,22566
,State Senator,Spencer R. Deery,Republican,23,20115
,State Senator,Travis Holdman,Republican,19,27865
,State Senator,Tyler Johnson,Republican,14,18907
