elections-2024 (2)
County,Office,Candidate,Party,District,Votes
,State Representative,Abby Norden,Democratic,81,11332
,State Representative,Alex Burton,Democratic,77,14395
,State Representative,Andrew Locke,Democratic,91,9101
,State Representative,Blake Johnson,Democratic,100,16667
,State Representative,Bob Compton,Democratic,74,9944
,State Representative,Carey Hamilton,Democratic,87,25517
,State Representative,Carl A. Seese,Democratic,38,8339
,State Representative,Carolyn B Jackson,Democratic,1,13932
,State Representative,Charles (Chuck) Moseley,Democratic,10,15405
,State Representative,Cherrish S. Pryor,Democratic,94,18772
,State Representative,Chris Campbell,Democratic,26,11508
,State Representative,Christopher Hartig,Democratic,29,13170
,State Representative,Dan Sikes,Democratic,41,7542
,State Representative,Dennis Collins,Democratic,16,6740
,State Representative,Dominique Davie,Democratic,90,11124
,State Representative,Earl Harris Jr.,Democratic,2,14997
,State Representative,Edward (Ed) Moyer Jr.,Democratic,13,8355
,State Representative,Edward O. DeLaney,Democratic,86,28998
,State Representative,Erika Robinson-Watkins,Democratic,4,14800
,State Representative,Gregory W. Porter,Democratic,96,25952
,State Representative,Heidi Beidinger,Democratic,5,14013
,State Representative,Hollie Payton,Democratic,73,6284
,State Representative,Jason Applegate,Democratic,72,14553
,State Representative,Jennifer David,Democratic,66,9926
,State Representative,Joe Swisher,Democratic,50,7136
,State Representative,John (Jack) Walter,Democratic,15,13625
,State Representative,John E Bartlett,Democratic,33,7818
,State Representative,John L. Bartlett,Democratic,95,17901
,State Representative,Josh Lowry,Democratic,24,18237
,State Representative,Judy Rowe,Democratic,51,5764
,State Representative,Justin Moed,Democratic,97,8831
,State Representative,Karen Marie Whitney,Democratic,28,9442
,State Representative,Kurtis J Cummings,Democratic,46,9847
,State Representative,Kyle Miller,Democratic,82,14151
,State Representative,Kyle Thele,Democratic,83,12426
,State Representative,Lisa Barker,Democratic,68,6970
,State Representative,Matt McNally,Democratic,39,18223
,State Representative,Matt Pierce,Democratic,61,17018
,State Representative,Maureen Bauer,Democratic,6,14861
,State Representative,Michael E Potter,Democratic,47,8402
,State Representative,Michael Katcher,Democratic,30,9309
,State Representative,Michelle Higgs,Democratic,60,8274
,State Representative,Mike Andrade,Democratic,12,17940
,State Representative,Mitch Gore,Democratic,89,12948
,State Representative,Nate Anderson,Democratic,53,10281
,State Representative,Patricia A (Pat) Boy,Democratic,9,15149
,State Representative,Phil GiaQuinta,Democratic,80,13519
,State Representative,Phil Goss,Democratic,85,7970
,State Representative,Philip G. (Phil) Gift,Democratic,35,9204
,State Representative,Ragen Hatcher,Democratic,3,14763
,State Representative,Reneé Pack,Democratic,92,13173
,State Representative,Richard (Rick) Rouser,Democratic,23,6469
,State Representative,Robert Pope III,Democratic,40,12478
,State Representative,Robin Shackleford,Democratic,98,14781
,State Representative,Ross Thomas,Democratic,59,9711
,State Representative,Ryan Hughey,Democratic,93,8258
,State Representative,Ryan M. Dvorak,Democratic,8,19461
,State Representative,Sandy James,Democratic,58,9051
,State Representative,Sarah Blessing,Democratic,70,9325
,State Representative,Sheila J. Klinker,Democratic,27,13398
,State Representative,Stephanie Jo Yocum,Democratic,88,16838
,State Representative,Sue Errington,Democratic,34,12156
,State Representative,Teresa Kendall,Democratic,63,6710
,State Representative,Thomas Horrocks,Democratic,62,17586
,State Representative,Thonja M Nicholson,Democratic,36,10623
,State Representative,Tiffany Stoner,Democratic,25,18730
,State Representative,Tonya Pfaff,Democratic,43,16847
,State Representative,Trish Whitcomb,Democratic,69,8410
,State Representative,Vanessa J. Summers,Democratic,99,13661
,State Representative,Vernon G Smith,Democratic,14,17570
,State Representative,Victoria C Martz,Democratic,55,6016
,State Representative,Victoria Garcia Wilburn,Democratic,32,17994
,State Representative,Walt Sorg,Democratic,52,6750
,State Representative,Wendy Dant Chesser,Democratic,71,14413
,State Representative,Charlie Florance,Libertarian,6,3483
,State Representative,Elizabeth (Libby) Glass,Libertarian,98,1817
,State Representative,Gregory T (Greg) Hertzsch,Libertarian,71,1123
,State Representative,Josh Vergiels,Libertarian,22,3332
,State Representative,Mark A Renholzberger,Libertarian,97,429
,State Representative,Melissa D Kauffman,Libertarian,21,3942
,State Representative,Alaina Shonkwiler,Republican,29,22794
,State Representative,Alan Morrison,Republican,42,24611
,State Representative,Alex Zimmerman,Republican,67,25408
,State Representative,Andrew Ireland,Republican,90,19450
,State Representative,Beau Baird,Republican,44,24061
,State Representative,Becky Cash,Republican,25,18794
,State Representative,Ben Ruiz,Republican,2,3290
,State Representative,Ben Smaltz,Republican,52,22279
,State Representative,Bob Heaton,Republican,46,20852
,State Representative,Bob Morris,Republican,84,21927
,State Representative,Bradford Barrett,Republican,56,20218
,State Representative,Bruce Borders,Republican,45,23309
,State Representative,Chris D. May,Republican,65,24786
,State Representative,Chris Jeter,Republican,88,23075
,State Representative,Christopher N. Judy,Republican,83,22111
,State Representative,Cindy Ledbetter,Republican,75,26617
,State Representative,Cory Criswell,Republican,54,24738
,State Representative,Craig Haggard,Republican,57,22413
,State Representative,Craig Snow,Republican,22,21137
,State Representative,Dale DeVon,Republican,5,16835
,State Representative,Daniel (Danny) Lopez,Republican,39,21164
,State Representative,Dave Hall,Republican,62,18395
,State Representative,Dave Heine,Republican,85,23160
,State Representative,David H. Abbott,Republican,18,24250
,State Representative,Doug Miller,Republican,48,18878
,State Representative,Ed Soliday,Republican,4,20111
,State Representative,Edward D. (Ed) Clere,Republican,72,19507
,State Representative,Elizabeth Rowray,Republican,35,22529
,State Representative,Ethan J. Lawson,Republican,53,24454
,State Representative,Ethan Manning,Republican,23,18330
,State Representative,Felipe Rios,Republican,99,3151
,State Representative,Garrett R. Bascom,Republican,68,26983
,State Representative,Gregory E. Steuerwald,Republican,40,17489
,State Representative,Hal Slager,Republican,15,23536
,State Representative,Heath R. VanNatter,Republican,38,25387
,State Representative,Hunter Smith,Republican,24,23364
,State Representative,Ivan Ursery II,Republican,14,6786
,State Representative,Jack Jordan,Republican,17,22867
,State Representative,Jake Teshka,Republican,7,20991
,State Representative,James K. (Jim) Schenke,Republican,26,6450
,State Representative,Jeff Larson,Republican,10,14149
,State Representative,Jeffrey A. Thompson,Republican,28,23989
,State Representative,Jennifer Meltzer,Republican,73,20900
,State Representative,Jim Lietz,Republican,12,14652
,State Representative,Jim Lucas,Republican,69,18438
,State Representative,Jim Pressel,Republican,20,22170
,State Representative,Joanna King,Republican,49,17915
,State Representative,Joel Florek,Republican,9,14555
,State Representative,John (J.D.) Prescott,Republican,33,21160
,State Representative,John L. Couch,Republican,92,9144
,State Representative,Joseph Bortka,Republican,100,6585
