elections-2024 (1)
County,Office,Candidate,Party,District,Votes
,State Senator,David Lee Niezgodski,Democratic,10,30420
,State Senator,Fady Qaddoura,Democratic,30,47526
,State Senator,Greg Taylor,Democratic,33,42134
,State Senator,Jessica McCormick,Democratic,35,18707
,State Senator,Joel Levi,Democratic,20,29380
,State Senator,Katrina Owens,Democratic,32,22368
,State Senator,Kimberly M Schofield,Democratic,37,15938
,State Senator,La Keisha Jackson,Democratic,34,36165
,State Senator,Leon P Smith,Democratic,8,16782
,State Senator,Leslie Nuss Bamesberger,Democratic,5,22419
,State Senator,Lonnie M. Randolph,Democratic,2,27981
,State Senator,Mark Spencer,Democratic,3,33401
,State Senator,Shelli Yoder,Democratic,40,38424
,State Senator,Suzanne Fortenberry,Democratic,36,18203
,State Senator,Veronica J Pejril,Democratic,24,21185
,State Senator,John Woodard,Independent,50,10367
,State Senator,Tim Cotton,Libertarian,10,8686
,State Senator,Travis E. Chittum,Libertarian,28,12638
,State Senator,Aaron Freeman,Republican,32,34243
,State Senator,Blake Doriot,Republican,12,33582
,State Senator,Brett Clark,Republican,24,40337
,State Senator,Brian W. Buchanan,Republican,7,49168
,State Senator,C. Susan Glick,Republican,13,41096
,State Senator,Cynthia (Cyndi) Carrasco,Republican,36,30274
,State Senator,Ed Charbonneau,Republican,5,43489
,State Senator,Eric A. Koch,Republican,44,48749
,State Senator,Humberto Prado,Republican,2,14635
,State Senator,Jean Leising,Republican,42,52778
,State Senator,Justin Busch,Republican,16,45442
,State Senator,Michael Crider,Republican,28,44687
,State Senator,Mike Bohacek,Republican,8,42545
,State Senator,R. Michael Young,Republican,35,24689
,State Senator,Rodric D. Bray,Republican,37,50188
,State Senator,Ryan Mishler,Republican,9,42276
,State Senator,Scott A. Baldwin,Republican,20,43886
,State Senator,Stacey A. Donato,Republican,18,45901
,State Senator,Vaneta Becker,Republican,50,43371
,State Senator,Will Miller,Republican,3,12279
