Ky_2024g_summary
Line,Contest Name,Choice Name,Party Name,Total Votes,Election Day Votes
1,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Donald J. TRUMP / J. D. VANCE,REP,1336230,847401
2,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Kamala D. HARRIS / Tim WALZ,DEM,700921,401909
3,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Robert F. KENNEDY JR. / Nicole SHANAHAN,IND,16753,12076
4,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Jill STEIN / Samson KPADENOU,KEN,7538,5494
5,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Chase OLIVER / Mike TER MAAT,LIB,6409,4590
6,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Shiva AYYADURAI / Crystal ELLIS,IND,1014,692
7,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Peter SONSKI / Lauren ONAK,IND,610,468
8,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Claudia DE LA CRUZ / Karina GARCIA,IND,389,292
9,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Cornel WEST / Melina ABDULLAH,IND,174,132
10,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),James D. SODERNA / Matthew J. TREWHELLA,IND,13,8
11,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Jay J. BOWMAN / De BOWMAN,IND,10,8
12,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Joseph KISHORE / Jerry WHITE,IND,8,4
13,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),John CHENG / Wayne WALIGORSKI,IND,4,3
14,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Billy KELLY / Jason HOLDERMAN,IND,4,3
15,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Cherunda FOX / Harlan MCVAY,IND,1,1
16,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Andre Ramon MCNEIL / Roschelle MCNEIL,IND,0,0
17,PRESIDENT and VICE PRESIDENT of the UNITED STATES (Vote for 1),Future Madam POTUS / Jessica KENNEDY,IND,0,0
18,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District (Vote for 1),James R. COMER,REP,252534,157529
19,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District (Vote for 1),Erin MARSHALL,DEM,85494,46878
20,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District (Vote for 1),S. Brett GUTHRIE,REP,252826,152686
21,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District (Vote for 1),Hank LINDERMAN,DEM,93029,49806
22,UNITED STATES REPRESENTATIVE in CONGRESS 3rd Congressional District (Vote for 1),Morgan McGARVEY,DEM,203100,124517
23,UNITED STATES REPRESENTATIVE in CONGRESS 3rd Congressional District (Vote for 1),Mike CRAVEN,REP,124713,79223
24,UNITED STATES REPRESENTATIVE in CONGRESS 3rd Congressional District (Vote for 1),Daniel COBBLE,IND,27,25
25,UNITED STATES REPRESENTATIVE in CONGRESS 3rd Congressional District (Vote for 1),Jared RANDALL,IND,24,15
26,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District (Vote for 1),Thomas MASSIE,REP,278386,179777
27,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District (Vote for 1),Benjamin August MIDDENDORF,IND,1131,675
28,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District (Vote for 1),Hal ROGERS,REP,261407,169706
29,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District (Vote for 1),Andy BARR,REP,220883,139398
30,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District (Vote for 1),Randy CRAVENS,DEM,127536,75676
31,STATE SENATOR 1st Senatorial District (Vote for 1),Jason G. HOWELL,REP,42109,26762
32,STATE SENATOR 3rd Senatorial District (Vote for 1),Craig B. RICHARDSON,REP,31672,18415
33,STATE SENATOR 5th Senatorial District (Vote for 1),Stephen MEREDITH,REP,41431,28658
34,STATE SENATOR 5th Senatorial District (Vote for 1),Jamie SKUDLAREK,DEM,10404,6242
35,STATE SENATOR 7th Senatorial District (Vote for 1),Aaron REED,REP,40538,25188
36,STATE SENATOR 7th Senatorial District (Vote for 1),Rhonda DAVIS,DEM,19112,11127
37,STATE SENATOR 9th Senatorial District (Vote for 1),David P. GIVENS,REP,37580,23963
38,STATE SENATOR 9th Senatorial District (Vote for 1),Karen M. PENNINGTON,DEM,12303,6964
39,STATE SENATOR 11th Senatorial District (Vote for 1),Steve RAWLINGS,REP,42770,29150
40,STATE SENATOR 13th Senatorial District (Vote for 1),Reggie THOMAS,DEM,32218,23716
41,STATE SENATOR 15th Senatorial District (Vote for 1),Rick GIRDLER,REP,47378,24227
