Table 1
DIST,CTY,MUNICIPALITY,"Daigle, Lucien J.B.","Martin, John L.",Blank,TBC,,,,,,
,,,Fort Kent,Eagle Lake,,,,,,,,
,,,Republican,Democratic,,,,,,,,
1,ARO,ALLAGASH,89,54,11,154,,,,,,
1,ARO,ASHLAND,412,232,33,677,,,,,,
1,ARO,EAGLE LAKE,288,170,14,472,,,,,,
1,ARO,FORT KENT,1443,706,82,2231,,,,,,
1,ARO,GARFIELD PLANTATION,36,11,9,56,,,,,,
1,ARO,MASARDIS,74,47,6,127,,,,,,
1,ARO,NASHVILLE PLT,12,10,0,22,,,,,,
1,ARO,NEW CANADA,121,52,3,176,,,,,,
1,ARO,PORTAGE LAKE,164,94,14,272,,,,,,
1,ARO,SAINT FRANCIS,131,91,11,233,,,,,,
1,ARO,SAINT JOHN PLANTATION,104,43,7,154,,,,,,
1,ARO,WALLAGRASS,196,112,9,317,,,,,,
1,ARO,WINTERVILLE PLANTATION,94,48,4,146,,,,,,
1,,STATE UOCAVA,6,28,0,34,,,,,,
,,TOTAL,3170,1698,203,5071,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Albert, Roger C.","Martin, Roland Daniel",Blank,TBC,,,,,,
,,,Madawaska ,Sinclair,,,,,,,,
,,,Republican,Democratic,,,,,,,,
2,ARO,CROSS LAKE TWP,76,79,8,163,,,,,,
2,ARO,FRENCHVILLE,360,240,25,625,,,,,,
2,ARO,GRAND ISLE,125,100,12,237,,,,,,
2,ARO,MADAWASKA,1142,924,85,2151,,,,,,
2,ARO,MADAWASKA LAKE,46,63,5,114,,,,,,
2,ARO,PERHAM,168,59,15,242,,,,,,
2,ARO,SAINT AGATHA,307,282,52,641,,,,,,
2,ARO,T15 R6 WELS TWP,16,4,0,20,,,,,,
2,ARO,VAN BUREN,476,379,59,914,,,,,,
2,,STATE UOCAVA,18,56,11,85,,,,,,
,,TOTAL,2734,2186,272,5192,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Babin, Mark Michael","McCrea, David Harold ",Blank,TBC,,,,,,
,,,Fort Fairfield,Fort Fairfield,,,,,,,,
,,,Republican,Democratic,,,,,,,,
3,ARO,CASWELL,60,60,6,126,,,,,,
3,ARO,CONNOR TWP,131,72,6,209,,,,,,
3,ARO,CYR PLANTATION,31,28,0,59,,,,,,
3,ARO,EASTON,410,291,17,718,,,,,,
3,ARO,FORT FAIRFIELD,816,827,53,1696,,,,,,
3,ARO,HAMLIN,55,50,5,110,,,,,,
3,ARO,LIMESTONE,361,354,41,756,,,,,,
3,ARO,NEW SWEDEN,178,146,23,347,,,,,,
3,ARO,STOCKHOLM,81,63,11,155,,,,,,
3,ARO,WESTMANLAND,31,28,4,63,,,,,,
3,ARO,WOODLAND,414,251,35,700,,,,,,
3,,STATE UOCAVA,9,32,1,42,,,,,,
,,TOTAL,2577,2202,202,4981,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Guerrette, Timothy C.","Paradis, Samantha Phyllis",Blank,TBC,,,,,,
,,,Caribou,Caribou,,,,,,,,
,,,Republican,Democratic,,,,,,,,
4,ARO,CARIBOU,2773,920,115,3808,,,,,,
4,ARO,WADE,117,47,10,174,,,,,,
4,ARO,WASHBURN,576,160,63,799,,,,,,
4,,STATE UOCAVA,14,25,1,40,,,,,,
,,TOTAL,3480,1152,189,4821,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Freeman, Kevin Gregory","Underwood, Joseph F.",Blank,TBC,,,,,,
,,,Presque Isle,Presque Isle,,,,,,,,
,,,Democratic,Republican,,,,,,,,
