Table 1
DIST,CTY,Municipality,"Bernard, Susan Y.","McLaughlin, Vaughn James",,,
,,,Caribou,Fort Fairfield,,,
,,,Republican,Democratic,Blank,TBC,
1,ARO,Allagash,86,59,9,154,
1,ARO,Ashland/Twps,473,173,31,677,
1,ARO,Caribou/Connor Twp,2645,1278,94,4017,
1,ARO,Castle Hill,134,75,11,220,
1,ARO,Caswell,86,36,4,126,
1,ARO,Chapman,187,70,17,274,
1,ARO,Cross Lake Twp,98,61,4,163,
1,ARO,Cyr Plt,34,25,0,59,
1,ARO,Eagle Lake/T15 R6 WELS Twp,313,156,20,489,
1,ARO,Fort Fairfield,1075,560,61,1696,
1,ARO,Fort Kent,1399,709,123,2231,
1,ARO,Frenchville,415,185,25,625,
1,ARO,Garfield Plt,40,9,7,56,
1,ARO,Grand Isle,130,93,14,237,
1,ARO,Hamlin,78,29,3,110,
1,ARO,Limestone,463,260,33,756,
1,ARO,Madawaska,1143,906,102,2151,
1,ARO,Madawaska Lake,55,56,3,114,
1,ARO,Mapleton,859,302,34,1195,
1,ARO,Masardis,88,35,4,127,
1,ARO,Nashville Plt,11,9,2,22,
1,ARO,New Canada,121,50,5,176,
1,ARO,New Sweden,215,115,17,347,
1,ARO,Perham,174,55,13,242,
1,ARO,Portage Lake,185,77,10,272,
1,ARO,Saint Agatha/Sinclair,370,211,60,641,
1,ARO,Saint Francis,119,94,20,233,
1,ARO,Saint John Plt,99,46,9,154,
1,ARO,Stockholm,90,56,9,155,
1,ARO,T15 R6 WELS Twp,3,0,0,3,
1,ARO,Van Buren,545,325,44,914,
1,ARO,Wade,114,53,7,174,
1,ARO,Wallagrass,193,112,12,317,
1,ARO,Washburn,562,187,50,799,
1,ARO,Westmanland,40,20,3,63,
1,ARO,Winterville Plt,86,54,6,146,
1,ARO,Woodland,470,209,21,700,
1,,STATE UOCAVA,50,142,14,206,
,,Total,13248,6892,901,21041,
,,,,,,,
,,,"Rush, Matthew J.","Stewart, Harold L. III",,,
,,,Houlton,Presque Isle,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
2,ARO,Amity,38,111,11,160,
2,ARO,Benedicta Twp/Siliver Ridge Twp,34,131,8,173,
2,ARO,Blaine,64,285,36,385,
2,ARO,Bridgewater,75,216,13,304,
2,ARO,Crystal,37,120,3,160,
2,ARO,Dyer Brook,41,100,11,152,
2,ARO,E Twp,6,31,6,43,
2,ARO,Easton,180,518,20,718,
2,ARO,Glenwood Plt,1,2,1,4,
2,ARO,Hammond,15,39,1,55,
2,ARO,Haynesville,18,47,2,67,
2,ARO,Hersey,12,29,1,42,
2,ARO,Hodgdon/Cary Twp,223,608,28,859,
2,ARO,Houlton,1179,1414,137,2730,
2,ARO,Island Falls,140,294,12,446,
2,ARO,Linneus,140,371,31,542,
2,ARO,Littleton,160,342,43,545,
2,ARO,Ludlow,83,152,22,257,
2,ARO,Macwahoc Plt,13,26,3,42,
2,ARO,Mars Hill,167,565,18,750,
2,ARO,Merrill,48,91,2,141,
2,ARO,Monticello,114,283,26,423,
2,ARO,Moro Plt,3,20,0,23,
2,ARO,New Limerick,130,215,16,361,
2,ARO,Oxbow North Twp,9,34,2,45,
