TOTAL VOTER TURNOUT: 98,647,187
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			2076			E
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		3802			
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			39			
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			14			
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			38			
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		12			
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	1	ALCONA	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			1984			E
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		2258			
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			24			
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			3			
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			48			
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		9			
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	2	ALGER	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			22802			E
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		33590			
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			218			
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			134			
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		1	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			537			
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		60			
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	3	ALLEGAN	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			5779			E
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		7920			
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			73			
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			37			
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			143			
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		28			
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	4	ALPENA	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	5	ANTRIM	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			5937			E
2022-11-08	2	00000	0	5	ANTRIM	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	5	ANTRIM	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	5	ANTRIM	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		7827			
