senate 1: Table 1
 New Hampshire - General Election,,,,,
State Senate District 1  ,,,,,
"November 5, 2024","Rusty Talbot, d","David Rochefort, r",Undervotes,Overvotes,Write-Ins
Atkinson and Gilmanton Ac. Gt.,0,0,0,0,0
Bath,248,430,26,0,0
Benton,72,143,20,0,0
Berlin ,"1,845","2,012",204,2,3
Bethlehem,980,656,42,0,2
Cambridge,2,3,0,0,0
Carroll,237,294,21,0,0
Clarksville,53,125,19,0,0
Colebrook,363,724,70,0,0
Columbia,111,275,34,0,0
Dalton,241,357,23,0,0
Dix's Grant,0,0,0,0,0
Dixville,1,5,0,0,0
Dummer,62,117,11,0,0
Easton,159,80,4,0,0
Ellsworth,30,41,3,0,0
Errol,59,151,25,0,0
Erving's Location,0,0,0,0,0
Franconia,539,276,25,0,0
Gorham,792,802,78,0,2
Haverhill,870,"1,471",105,0,2
Jefferson,224,448,20,0,0
Kilkenny,0,0,0,0,0
Lancaster,682,"1,073",66,0,0
Landaff,117,166,17,0,0
Lisbon,359,470,34,2,0
Littleton,"1,425","1,802",104,0,0
Low and Burbank's Grant,0,0,0,0,0
Lyman,154,218,19,1,0
Milan,294,482,48,0,0
Millsfield,2,10,0,0,0
Monroe,197,337,0,0,0
Northumberland,351,731,65,0,0
Odell,0,0,0,0,0
Piermont,210,244,26,0,0
Pittsburg,133,439,41,0,0
Randolph,182,89,5,0,0
Rumney,407,579,52,0,1
Second College Grant,0,0,0,0,0
Shelburne,122,153,14,0,0
Stark,93,220,18,0,0
Stewartstown,83,327,44,2,0
Stratford,138,193,29,0,1
Success,1,1,0,0,0
Sugar Hill,310,170,23,0,0
Warren,171,311,32,0,0
Wentworth's Location,4,16,3,0,0
Whitefield,611,786,82,0,0
Woodstock,437,386,39,0,1
Totals,"13,371","17,613","1,491",7,12

senate 2: Table 1
 New Hampshire - General Election,,,,,
State Senate District 2  ,,,,,
"November 5, 2024","Carlos Cardona, d","Timothy Lang, r",Undervotes,Overvotes,Write-Ins
Ashland, 	549 , 	651 ,61,0,0
Belmont," 	1,355 "," 	2,727 ",243,0,1
Campton, 	974 ," 	1,088 ",108,0,4
Center Harbor, 	322 , 	440 ,45,0,1
Gilford," 	1,976 "," 	3,003 ",322,0,3
Holderness, 	770 , 	634 ,90,0,4
Laconia Ward 1, 	771 ," 	1,198 ",2,0,1
Laconia Ward 2, 	538 , 	740 ,91,0,2
Laconia Ward 3, 	737 , 	686 ,102,0,1
Laconia Ward 4, 	529 , 	768 ,69,0,1
Laconia Ward 5, 	464 , 	749 ,81,1,2
Laconia Ward 6, 	658 ," 	1,174 ",92,0,1
Meredith," 	1,839 "," 	2,586 ",244,0,1
New Hampton, 	634 , 	961 ,74,0,0
Sanbornton, 	702 ," 	1,360 ",78,0,5
Sandwich, 	712 , 	448 ,38,0,1
Thornton, 	842 , 	904 ,99,0,0
Totals," 	14,372 "," 	20,117 ",1839,1,28

senate 3: Table 1
New Hampshire - General Election,,,,,,
State Senate District 3,,,,,,
"November 5, 2024","Bill Marsh, d","Mark McConkey, r",Undervotes,Overvotes,Write-Ins,
Albany,222 ,216 ,30 ,0,0,
Bartlett,"1,143 ",908 ,63 ,2,3,
Bean's Grant,0 ,0 ,0 ,0,0,
Bean's Purchase,0 ,0 ,0 ,0,0,
Brookfield,216 ,345 ,24 ,0,1,
Chandler's Purchase,0 ,0 ,0 ,0,0,
Chatham,99 ,128 ,8 ,0,0,
Conway,"2,927 ","2,806 ",245 ,1,1,
Crawford's Purchase,0 ,0 ,0 ,0,0,
Cutt's Grant,0 ,0 ,0 ,0,0,
Eaton,171 ,136 ,16 ,0,0,
Effingham,325 ,662 ,29 ,0,1,
Freedom,463 ,701 ,36 ,1,0,
Green's Grant,1 ,0 ,0 ,0,0,
Hadley's Purchase,0 ,0 ,0 ,0,0,
Hale's Location,49 ,86 ,1 ,1,1,
Hart's Location,21 ,24 ,1 ,0,0,
Jackson,498 ,258 ,19 ,0,0,
Lincoln,456 ,425 ,64 ,1,1,
Livermore,0 ,0 ,0 ,0,0,
Madison,827 ,909 ,89 ,,,
Martin's Location,0 ,2 ,0 ,0,0,
Middleton,351 ,730 ,64 ,0,0,
Milton,952 ,"1,607 ",174 ,0,2,
Moultonborough,"1,424 ","2,292 ",209 ,0,0,
Ossipee,868 ,"1,740 ",104 ,,1,
Pinkham's Grant,7 ,0 ,3 ,0,0,
Sargent's Purchase,0 ,0 ,0 ,0,0,
Tamworth,803 ,990 ,58 ,,2,
Thompson & Mes's Purchase,0 ,0 ,0 ,0,0,
Tuftonboro,788 ,"1,144 ",77 ,0,0,
Wakefield,"1,165 ","2,221 ",174 ,0,2,
Waterville Valley,218 ,190 ,21 ,0,0,
Wolfeboro,"2,072 ","2,538 ",231 ,7,4,
Totals,"16,066 ","21,058 ","1,740 ",13 ,19 ,

senate 4: Table 1
New Hampshire - General Election,,,,,
State Senate District 4,,,,,
"November 5, 2024","David H. Watters, d","Shawn Mickelonis, r",Undervotes,Overvotes,Write-Ins
Barrington,"3,051","2,958",321,0,2
Dover Ward 1,2290,797,154,0,1
Dover Ward 2,2089,872,150,1,2
Dover Ward 3,"2,183","1,408",190,0,1
Dover Ward 4,"2,155","1,193",208,0,2
Dover Ward 5,"1,744","1,020",144,1,1
Dover Ward 6,"1,689","1,237",170,0,0
Rollinsford,979,720,65,0,1
Somersworth Ward 1,809,589,64,0,1
Somersworth Ward 2,590,521,64,1,1
Somersworth Ward 3,616,542,61,0,1
Somersworth Ward 4,848,537,76,0,2
Somersworth Ward 5,623,453,53,0,0
Totals,"19,666","12,847","1,720",3,15
 ,,,,,

senate 5: Table 1
 New Hampshire - General Election,,,,,
State Senate District 5,,,,,
"November 5, 2024","Suzanne M. Prentiss, d","John J. McIntyre, r",Undervotes,Overvotes,Write-Ins
Canaan,"1,100 ","1,007 ",90 ,1,0
Cornish,600 ,489 ,52 ,0,0
Dorchester,101 ,136 ,11 ,0,0
Enfield,"1,582 ","1,062 ",105 ,0,4
Grantham,"1,537 ",833 ,93 ,0,4
Groton,123 ,238 ,30 ,0,0
Hanover,"5,428 ","1,275 ",510 ,0,11
Lebanon Ward 1,"1,806 ",653 ,101 ,0,1
Lebanon Ward 2,"1,979 ",735 ,2 ,0,1
Lebanon Ward 3,"1,930 ",750 ,99 ,0,3
Lyme,977 ,209 ,63 ,0,0
New London,"1,829 ","1,165 ",179 ,0,5
Orford,486 ,346 ,40 ,0,0
