Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Representatives - BELKNAP County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 1 (1),"David Rose, d","Tom Ploszaj, r",,,,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Harbor,323,441,,,,,49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampton,677,901,,,,,91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,1000,1342,,,,,140,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 2 (2),"Ben Brookmyer, d","Lynn Thomas, d","Matt Coker, r","Matthew Lunney, r",,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meredith,1579,1913,2648,2112,,,244,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 3 (1),"Andrew R. Sanborn, d","Juliet Harvey-Bolia, r",,,,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanbornton,884,1156,,,,,101,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilton,932,1177,,,,,146,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,1816,2333,,,,,247,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 4 (1),"Travis Toner, r",,,,,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,3011,,,,,,1246,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 5 (4),"Wendy Chase, d","Erika Gray, d","Charlie St. Clair, d","Jon Hildreth, d",,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 1,774,716,929,831,,,996,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 3, 	722 , 	684 , 	816 ,737,,,893,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 4, 	496 , 	467 , 	582 ,522,,,899,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 5, 	432 , 	422 , 	542 ,451,,,902,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 6, 	651 , 	630 , 	772 ,683,,,1025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,3075,2919,3641,3224,,,4715,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Steven T. Bogert, r","Mike Bordes, r","Richard Littlefield, r","Sheri Minor, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 1,1010,1114,911,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 3,554,597,516,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 4,605,657,571,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 5,580,611,554,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 6,954,1061,912,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,3703,4040,3464,3852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 6 (4),"Jonathan D. Arsenault, d","Bob McLean, d","Lena Nirk, d","Kurt Webber, d",,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilford,1606,2222,2017,2234,,,1606,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilmanton,733,867,839,872,,,1656,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 2,466,553,526,539,,,936,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2805,3642,3382,3645,,,4198,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"David Nagel, r","Glen Aldrich, r","Harry H. Bean, r","Russell Dumais, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilford,2573,2339,2818,2728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilmanton,1564,1357,1495,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Ward 2,594,566,684,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,4731,4262,4997,4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 7 (3),"Susan Church Stevens, d","Ruth Larson, d","Stephanie Vuolo, d",,,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alton,1167,1427,1172,,,,1783,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstead,963,1120,952,,,,1437,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2130,2547,2124,,,,3220,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Barbara Comtois, r","Paul A. Terry, r","Peter R. Varney, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alton,2346,2390,2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstead,1685,1629,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,4031,4019,4159,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District No. 8 (2) F,"Sheryl Anderson, d","Don House, d","Lisa M. Freeman, r","Douglas Trottier, r",,,Undervotes,Overvotes,Write-Ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,1370,1255,2214,2374,,,1421,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanbornton,768,692,1118,1110,,,591,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilton,876,733,1113,1085,,,707,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
