Table 1
State of New Hampshire - 2024 General Election,,,,,,,,
State Representatives - CARROLL County,,,,,,,,
"November 5, 2024",,,,,,,,
District No. 1 (3),"Tom Buco, d","David Paige, d","Stephen L. Woodcock, d","Karen C. Umberger, r", ,Undervotes,Overvotes,Write-Ins
Conway,2901,2974,3284,2826,,5948,0,7
,,,,,,,,
District No. 2 (2),"Anita Burroughs, d","Chris McAleer, d","Maureen Blanchard, r", , ,Undervotes,Overvotes,Write-Ins
Albany,228,211,209,,,0,0,1
Bartlett,1211,1104,893,,,1040,1,5
Chatham,96,88,133,,,152,0,1
Hale's Location,49,50,86,,,89,2,0
Hart's Location,20,20,25,,,26,0,1
Jackson,495,502,255,,,295,0,2
Sandwich,733,660,447,,,557,0,1
Totals,2832,2635,2048,,,2159,3,11
District No. 3 (2),"Kim Johnson, d","Sandra Ringelstein, d","Karel A. Crawford, r","Joseph Hamblen, r",,Undervotes,Overvotes,Write-Ins
Madison,833,805,789,711,,430,0,2
Moultonborough,1486,1506,2174,1868,,807,6,3
Tamworth,851,804,808,756,,484,0,2
Totals,3170,3115,3771,3335,,1721,6,7
District No. 4 (2),"Donna V. Ackerman, d","Lino M. Avellani, r","Mike Belcher, r",,,Undervotes,Overvotes,Write-Ins
Brookfield,234,327,264,,,345,0,2
Eaton,183,97,125,,,240,0,1
Effingham,366,487,547,,,634,0,0
Freedom,507,515,584,,,800,2,2
Wakefield,1252,2174,1712,,,1965,0,2
Totals,2542,3600,3232,,,3984,2,7
District No. 5 (1),"Jonathan H. Smith, r",,,,,Undervotes,Overvotes,Write-Ins
Ossipee,1890,,,,,780,,43
District No. 6 (2),"Karen Burnett-Kurie, d","John T. MacDonald, r","Katy Peternel, r","Kayla Hewitt, i&d",,Undervotes,Overvotes,Write-Ins
Tuftonboro,664,1000,980,777,,596,0,1
Wolfeboro,1663,2332,2154,2085,,1452,14,5
Totals,2327,3332,3134,2862,,2048,14,6
District No. 7 (1) F,"Bobbi Boudman, d","Glenn Cordelli, r",,,,Undervotes,Overvotes,Write-Ins
Ossipee,939,1600,,,,173,,1
Tuftonboro,804,1098,,,,106,0,1
Wolfeboro,2128,2397,,,,316,5,5
Totals,3871,5095,,,,595,5,7
District No. 8 (2) F,"Rob Davies, d","James Pittman, d","Richard R. Brown, r","Brian R. Taylor, r",,Undervotes,Overvotes,Write-Ins
Brookfield, 	199 , 	201 ,297 ,256,,217,2,0
Eaton, 	24 , 	27 ,14 ,10,,115,0,0
Effingham, 	276 , 	326 ,508 ,528,,394,2,0
Freedom, 	404 , 	422 ,565 ,573,,434,4,0
Madison, 	785 , 	823 ,772 ,730,,460,0,2
Moultonborough," 	1,294 "," 	1,281 ","2,197 ",1985,,1092,0,1
Tamworth, 	782 , 	799 ,816 ,744,,562,0,2
Wakefield," 	1,006 ", 	944 ,"1,968 ",1729,,1464,0,1
Totals," 	4,770 "," 	4,823 ","7,137 ",6555,,4738,8,6
