Table 1
State of New Hampshire -  2024 General Election,,,,,,,,
State Representatives - CHESHIRE County,,,,,,,,
"November 5, 2024",,,,,,,,
District No. 1 (1),"Dylan Germana, d",,,,,Undervotes,Overvotes,Write-Ins
Keene Ward 1,1639,,,,,736,0,12
District No. 2 (1),"Dru Fox, d","Nathan Carbone, r",,,,Undervotes,Overvotes,Write-Ins
Keene Ward 3,1563,816,,,,118,0,2
District No. 3 (1),"Philip Jones, d",,,,,Undervotes,Overvotes,Write-Ins
Keene Ward 5,2014,,,,,827,0,37
District No. 4 (1),"Jodi Newell, d","Thomas Savastano, r",,,,Undervotes,Overvotes,Write-Ins
Keene Ward 4,1553,814,,,,198,0,8
District No. 5 (1),"Lucy McVitty Weber, d","William J. Sommer, r",,,,Undervotes,Overvotes,Write-Ins
Surry,271,270,,,,38,0,0
Walpole,1339,941,,,,79,0,3
Totals,1610,1211,,,,117,0,3
District No. 6 (2),"Paul Berch, d","Cathryn A. Harvey, d","Sean Graves, r","Robert Sutherland, r",,Undervotes,Overvotes,Write-Ins
Chesterfield,1167,1176,1173,915,,500,4,1
Hinsdale,877,883,839,738,,509,0,3
Westmoreland,576,552,488,410,,204,0,0
Totals,2620,2611,2500,2063,,1213,4,4
District No. 7 (1),"Terri O'Rorke, d",,,,,Undervotes,Overvotes,Write-Ins
Keene Ward 2,1899,,,,,724,0,21
District No. 8 (1),"Lucius Parshall, d",,,,,Undervotes,Overvotes,Write-Ins
Harrisville,545,,,,,215,1,14
Marlborough,870,,,,,393,0,20
Nelson,273,,,,,166,0,9
Roxbury,93,,,,,64,0,3
Sullivan,224,,,,,204,0,8
Totals,2005,,,,,1042,1,54
District No. 9 (1),"Daniel Adams Eaton, d","Rich Nalevanko, r",,,,Undervotes,Overvotes,Write-Ins
Alstead,590,576,,,,54,0,0
Gilsum,230,260,,,,31,0,0
Marlow,228,213,,,,23,0,0
Stoddard,437,475,,,,35,0,0
Totals,1485,1524,,,,143,0,0
District No. 10 (2),"Barry Faulkner, d","Alan Gross, d","Sly Karasinski, r","Daniel LeClair, r",,Undervotes,Overvotes,Write-Ins
Richmond,263,225,388,403,,241,0,0
Swanzey,1987,1696,1832,1784,,1213,0,0
Totals,2250,1921,2220,2187,,1454,0,0
District No. 11 (1),"Natalie Quevedo, d","Denis Vincent Murphy II, r",,,,Undervotes,Overvotes,Write-Ins
Winchester,882,1110,,,,96,0,2
District No. 12 (1),"Jack Gettens, d","Dick H. Thackston III, r",,,,Undervotes,Overvotes,Write-Ins
Fitzwilliam ,623,780,,,,62,0,1
Troy,505,586,,,,50,0,2
Totals,1128,1366,,,,112,0,3
District No. 13 (1),"Richard Ames, d","Donald R. Primrose, r",,,,Undervotes,Overvotes,Write-Ins
Dublin,611,450,,,,78,0,0
Jaffrey,1544,1550,,,,134,0,0
Totals,2155,2000,,,,212,0,0
District No. 14 (1) FL,"Deni Dickler, d","John B. Hunt, r",,,,Undervotes,Overvotes,Write-Ins
Rindge,1270,2351,,,,144,0,1
District No. 15 (2) FL,"Nicholas Germana, d","Samantha Jacobs, d","Jerry L. Sickels, r","John W. Winter, r",,Undervotes,Overvotes,Write-Ins
Chesterfield," 	1,185 "," 	1,252 ", 	943 ,923,,631,2,0
Hinsdale, 	846 , 	905 , 	721 ,796,,578,0,3
Keene Ward 1," 	1,316 "," 	1,342 ", 	635 ,633,,854,1,7
Keene Ward 3," 	1,459 "," 	1,513 ", 	694 ,707,,622,0,5
Keene Ward 4," 	1,443 "," 	1,494 ", 	734 ,733,,726,0,0
Keene Ward 5," 	1,685 "," 	1,740 ", 	811 ,803,,711,2,4
Surry, 	267 , 	266 , 	226 ,236,,161,2,0
Walpole," 	1,192 "," 	1,307 ", 	841 ,866,,510,0,4
Westmoreland, 	534 , 	544 , 	436 ,445,,271,0,0
Totals," 	9,927 "," 	10,363 "," 	6,041 ",6142,,5064,7,23
District No. 16 (1) FL,"James Gruber, d","Bob Willis, r",,,,Undervotes,Overvotes,Write-Ins
Alstead, 	625 ,494,,,,100,0,0
Gilsum, 	226 ,254,,,,41,0,0
Harrisville, 	504 ,228,,,,42,1,0
Keene Ward 2," 	1,688 ",753,,,,203,0,2
Marlborough, 	723 ,476,,,,84,1,1
Marlow, 	221 ,205,,,,38,0,0
Nelson, 	251 ,173,,,,24,0,0
Roxbury, 	76 ,60,,,,21,0,0
Stoddard, 	393 ,507,,,,48,0,0
Sullivan, 	172 ,229,,,,35,0,0
Totals," 	4,879 ",3379,,,,636,2,3
District No. 17 (1) FL,"Kristan Tilton, d","Jennifer Rhodes, r",,,,Undervotes,Overvotes,Write-Ins
Fitzwilliam,594,805,,,,67,0,0
Richmond,253,461,,,,45,0,1
Swanzey,1881,2102,,,,271,0,2
Troy,449,638,,,,58,0,0
Winchester,796,1198,,,,96,0,0
Totals,3973,5204,,,,537,0,3
District No. 18 (2) FL,"Hannah Bissex, d","Tom Hsu, d","Rita Mattson, r","Jim Qualey, r",,Undervotes,Overvotes,Write-Ins
Dublin,608,578,445,408,,239,0,0
Jaffrey,1498,1368,1507,1339,,739,0,0
Rindge,1314,1110,2109,2156,,842,0,1
Totals,3420,3056,4061,3903,,1820,0,1
