Table 1
State of New Hampshire - 2024 General Election,,,,,,,,
State Representatives - COOS County,,,,,,,,
"November 5, 2024",,,,,,,,
District No. 1 (2) ,"Cathleen A. Fountain, d","Sean C. Durkin, r","James W. Tierney Jr., r",,Undervotes,Overvotes,Write-Ins,
Dalton,268,307,247,,420,0,0,
Lancaster,764,888,710,,1278,0,2,
Northumberland,377,594,539,,784,0,0,
Stratford,135,171,136,,278,0,2,
Totals,1544,1960,1632,,2760,0,4,
District No. 2 (1),"Arnold G. Davis, r",,,,Undervotes,Overvotes,Write-Ins,
At. & Gilm. Ac. Grant,0,,,,0,0,0,
Cambridge,3,,,,2,0,0,
Clarksville,130,,,,64,0,3,
Dix's Grant,0,,,,0,0,0,
Dixville,6,,,,0,0,0,
Dummer,139,,,,50,0,1,
Errol,162,,,,73,0,0,
Milan,575,,,,248,0,0,
Millsfield,10,,,,0,0,0,
Odell,0,,,,0,0,0,
Pittsburg,460,,,,153,0,0,
Second College Grant,0,,,,0,0,0,
Stark,232,,,,99,0,0,
Wentworth's Loc.,17,,,,6,0,0,
Totals,1734,,,,695,0,4,
District No. 3 (1),"Mike Ouellet, r",,,,Undervotes,Overvotes,Write-Ins,
Colebrook,833,,,,319,0,5,
Columbia,286,,,,127,0,3,
Erving's Location,0,,,,0,0,0,
Stewartstown,346,,,,107,2,1,
Totals,1465,,,,553,2,9,
District No. 4 (1),"Seth King, r","Suzy Colt, d",,,Undervotes,Overvotes,Write-Ins,
Carroll,289,237,,,26,0,0,
Jefferson,424,234,,,34,0,0,
Kilkenny,0,0,,,0,0,0,
Whitefield,712,672,,,93,2,0,
Totals,1425,1143,,,153,2,0,
District No. 5 (2),"Corinne Cascadden, d","Henry W. Noel, d","Peter Morency, r","Brian L. Valerino, r",Undervotes,Overvotes,Write-Ins,
Berlin,1768,1561,1932,2032,781,52,2,
District No. 6 (1),"Maggie Baker, d","Michael P. Murphy, r",,,Undervotes,Overvotes,Write-Ins,
Bean's Grant,0,0,,,0,0,0,
Bean's Purchase,0,0,,,0,0,0,
Chandler's Purchase,0,0,,,0,0,0,
Crawford's Purchase,0,0,,,0,0,0,
Cutt's Grant,0,0,,,0,0,0,
Gorham,697,907,,,65,1,2,
Green's Grant,1,0,,,0,0,0,
Hadley's Purchase,0,0,,,0,0,0,
Low and Burbank's Gt.,0,0,,,0,0,0,
Martin's Location,0,2,,,0,0,0,
Pinkham's Grant,8,0,,,2,0,0,
Randolph,167,95,,,14,0,0,
Sargent's Purchase,0,0,,,0,0,0,
Shelburne,106,171,,,12,0,0,
Success,2,0,,,0,0,0,
Thomp and Mes's Pur,0,0,,,0,0,0,
Totals,981,1175,,,93,1,2,
District No. 7 (1) FL,"Eamon Kelley, d","Lori Korzen, r",,,Undervotes,Overvotes,Write-Ins,
Berlin,1947,1961,,,151,3,2,
Carroll,226,297,,,28,0,1,
Jefferson,243,413,,,36,0,0,
Kilkenny,0,0,,,0,0,0,
Whitefield,623,750,,,105,0,1,
Totals,3039,3421,,,320,3,4,
