Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,,,
State Representative - GRAFTON County,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,
District No. 1 (3),"Timothy T. Egan, d","Linda Massimilla, d","Vern Masters, d",,,Undervotes,Overvotes,Write-Ins,,,,
Bath,233,246,212,,,293,0,0,,,,
Lisbon,336,354,297,,,376,0,1,,,,
Littleton,1346,1512,1129,,,1188,0,0,,,,
Lyman,144,159,125,,,175,0,0,,,,
Monroe,201,211,182,,,0,0,0,,,,
Sugar Hill,291,273,258,,,159,0,0,,,,
Totals,2551,2755,2203,,,2191,0,1,,,,
,"Joseph Barton, r","Calvin Beaulier, r","Darrell A. Louis, r",,,,,,,,,
Bath,394,368,366,,,,,,,,,
Lisbon,432,389,410,,,,,,,,,
Littleton,1526,1498,1802,,,,,,,,,
Lyman,200,180,193,,,,,,,,,
Monroe,323,304,305,,,,,,,,,
Sugar Hill,164,172,162,,,,,,,,,
Totals,3039,2911,3238,,,,,,,,,
District No. 2 (1),"Jared Sullivan, d","Eddie Qi, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Bethlehem,1002,583,,,,72,0,3,,,,
Franconia,527,266,,,,46,0,0,,,,
Totals,1529,849,,,,118,0,3,,,,
District No. 3 (1),"Jerry M. Stringham, d","Paul H. Schirduan, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Easton,156,80,,,,7,0,0,,,,
Lincoln,501,399,,,,44,2,1,,,,
Livermore,0,0,,,,0,0,0,,,,
Woodstock,489,342,,,,28,0,3,,,,
Totals,1146,821,,,,79,2,4,,,,
District No 4 (1),"Heather P. Baldwin, d","Steven Babin, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Ellsworth,35,37,,,,2,0,0,,,,
Thornton,954,830,,,,60,0,1,,,,
Waterville Valley,222,179,,,,28,0,0,,,,
Totals,1211,1046,,,,90,0,1,,,,
District No. 5 (2),"Rachael E. Booth, d","Dustin Vigneault, d","Marie L. Bjelobrk, r","Rick Ladd, r",,Undervotes,Overvotes,Write-Ins,,,,
Benton,65,54,147,113,,91,0,0,,,,
Haverhill,838,743,1286,1395,,608,2,24,,,,
Landaff,130,108,140,149,,73,0,0,,,,
Piermont,197,182,221,221,,137,0,1,,,,
Warren,145,130,294,248,,211,0,0,,,,
Totals,1375,1217,2088,2126,,1120,2,25,,,,
District No. 6 (1),"Jolene T. Farmer, d","Linda Franz, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Orford,490,346,,,,35,0,1,,,,
Rumney,400,584,,,,46,8,1,,,,
Wentworth,209,396,,,,0,0,1,,,,
Totals,1099,1326,,,,81,8,3,,,,
District No.7 (1),"Janet Marie Lucas, d",RECOUNT,"Jon A. Gablinske, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Campton,1056,1057,1028,1034,89,84,0,0,1,1,,
District No 8 (3),"Bill Bolton, d","Sallie Fellows, d","Peter Lovett, d","Timothy F. Sweetsir, r",,Undervotes,Overvotes,Write-Ins,,,,
Ashland,496,554,555,660,,1499,0,3,,,,
Holderness,770,797,843,613,,1443,0,10,,,,
Plymouth,1813,1853,1767,1412,,3546,0,30,,,,
Totals,3079,3204,3165,2685,,6488,0,43,,,,
District No. 9 (1),"Thomas Oppel, d","Kevin M. Howard, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Canaan,1128,981,,,,88,1,0,,,,
Dorchester,93,145,,,,10,0,0,,,,
Orange,84,107,,,,12,0,0,,,,
Totals,1305,1233,,,,110,1,0,,,,
District No. 10 (1),"Richard A. Lobban Jr., d","John Sellers, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Bridgewater,375,462,,,,40,0,3,,,,
Bristol,909,1028,,,,122,0,1,,,,
Totals,1284,1490,,,,162,0,4,,,,
District No 11 (1),"Lex Berezhny, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Alexandria,722,,,,,403,2,5,,,,
Grafton,523,,,,,260,0,13,,,,
Groton,252,,,,,135,0,4,,,,
Hebron,329,,,,,231,0,3,,,,
Totals,1826,,,,,1029,2,25,,,,
District No. 12 (4),"Mary Hakken-Phillips, d","Russell Muirhead, d","Ellen Rockmore, d","Terry Spahr, d",,Undervotes,Overvotes,Write-Ins,,,,
Hanover," 	5,334 "," 	5,380 "," 	5,342 "," 	5,214 ",,7485,0, 	19 ,,,,
Lyme, 	981 , 	971 , 	963 , 	960 ,,1121,0,0,,,,
TOTALS," 	6,315 "," 	6,351 "," 	6,305 "," 	6,174 ",,8606,0,19,,,,
District No. 13 (1),"Laurel Stavis, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Lebanon Ward 1,1982,,,,,557,0,17,,,,
District No. 14 (1),"George Sykes, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Lebanon Ward 2,2216,,,,,9,0,7,,,,
District No. 15 (1),"Thomas Cormen, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Lebanon Ward 3,2170,,,,,594,0,6,,,,
District No. 16 (1)FL,"David Fracht, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Enfield,1867,,,,,852,0,25,,,,
District No. 17 (1)FL,"Susan Almy, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Lebanon Ward 1,1998,,,,,542,0,12,,,,
Lebanon Ward 2,2211,,,,,10,0,21,,,,
Lebanon Ward 3,2167,,,,,599,0,3,,,,
Totals,6376,,,,,1151,0,36,,,,
District No. 18 (1)FL,"Carolyn Fluehr-Lobban, d","Donald McFarlane, r",,,,Undervotes,Overvotes,Write-Ins,,,,
Alexandria,398,656,,,,75,3,0,,,,
Bridgewater,360,472,,,,47,0,2,,,,
Bristol,880,1066,,,,114,0,0,,,,
Canaan,1081,1014,,,,101,1,0,,,,
Dorchester,87,149,,,,12,0,0,,,,
Enfield,1557,1058,,,,132,0,1,,,,
Grafton,281,471,,,,43,0,1,,,,
Groton,120,233,,,,38,0,0,,,,
Hebron,222,307,,,,34,0,0,,,,
Orange,83,107,,,,13,0,0,,,,
Totals,5069,5533,,,,609,4,4,,,,
