Table 1
State of New Hampshire - 2024  General Election,,,,,,,,,,,,,,
State Representative - HILLSBOROUGH County,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,,,
District No. 1 (4),"Ann Balcom-Dadak, d","Lisa Brown, d","Paul L. Dadak, d","B.J. Murphy, d",,,,,Undervotes,Overvotes,Write-Ins,,,
Pelham,2772,3059,2701,2814,,,,,4879,,13,,,
,"Tim Mannion, r","Tom Mannion, r","Sandra Panek, r","Jeffrey Tenczar, r",,,,,,,,,,
Pelham,5157,5052,5250,5308,,,,,,,,,,
District No. 2 (7),"Kevin Boyarsky, d","John Fitzgerald, d","Loren Foxx, d","Jeff Kerr, d","Shana Potvin, d","Catherine A. Rombeau, d","Matthew Sullivan, d",,Undervotes,Overvotes,Write-Ins,,,
Bedford," 	5,993 "," 	6,118 "," 	6,575 "," 	5,976 "," 	5,968 "," 	6,602 "," 	6,089 ",,12392,4,32,,,
,"Danielle Evansic, r","Ted Gorski, r","Linda Gould, r","Peter Kujawski, r","Brian Labrie, r","Kristin Noble, r","John Schneller, r",,,,,,,
Bedford,6443,6894,6955,6495,6888,6929,6546,,,,,,,
District No. 3 (3),"Paige Beauchemin, d","Fred Davis, d","Marc W. Plamondon, d","Joost J.G. Baumeister, r","David M. Narkunas, r",,,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 4,1597,1419,1389,943,1050,,,,2734,0,8,,,
District No.  4 (3),"Ray Newman, d","Sue Newman, d","Linda V. Ryan, d","Michael McCarthy, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 2,2767,2857,2853,2690,,,,,5887,1,31,,,
District No. 5 (3),"Susan A. Elberger, d","Heather Raymond, d","Dale Swanson, d","Joseph Capriotti, r","Allison Dyer, r","Sean Rogers, r",,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 1,2929,2964,2795,2506,2510,2535,,,2195,0,9,,,
District No. 6 (3),"Lee Ann Kluger, d","Carry Spier, d","Suzanne Vail, d","Paul R. Berube, r","Doris Hohensee, r","Daniel Richardson, r",,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 3,2322,2195,2251,1923,1634,1687,,,1945,0,4,,,
District No. 7 (3),"Alicia Gregg, d","Louis C. Juris, d","Catherine M. Sofikitis, d","Dee Hogan, r","Avalon Lewis, r",,,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 7,2123,1833,1814,1585,1685,,,,3556,0,41,,,
District No. 8 (3),"Efstathia Booras, d","Christal Lloyd, d","Frances E. Nutter-Upham, d","Kevin Scully, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 6,1935,2047,1798,2082,,,,,5376,0,17,,,
District No. 9 (3),"William Dolan, d",RECOUNT,"Sanjeev K. Manohar, d",RECOUNT,"Santosh Salvi, d",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Nashua Ward 5,3201,3204,2940,2940,3106,3103,4642,4833,0,3,16,29,,
,"Paula Johnson, r",RECOUNT,"Robert Dion, r",RECOUNT,,,,,,,,,,
,2862,2868,2708,2711,,,,,,,,,,
District No. 10 (3),"Linda Harriott-Gathright, d","Marty Jack, d","Melbourne Moran Jr., d","Dana Albrecht, r","John Cawthron, r","Bill Ohm, r",,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 9,2788,2746,2414,2206,2095,2563,,,2400,0,7,,,
District No. 11 (3),"Manoj Chourasia, d","Will Darby, d","Laura Telerski, d","Kristie Hart, r","Peter Silva, r","Robert J. Sullivan, r",,,Undervotes,Overvotes,Write-Ins,,,
Nashua Ward 8,2368,2417,2586,1856,1839,1779,,,1735,0,4,,,
District No. 12 (8),"Rebecca Boutin, d","George R. Dieter, d","James Flis, d","Nancy A. Murphy, d","Marc Nozell, d","Rosemarie Rung, d", ,,Undervotes,Overvotes,Write-Ins,,,
Merrimack," 	6,977 "," 	6,454 "," 	6,447 "," 	7,999 "," 	6,769 "," 	7,945 ",,,22858,9,,,,
,"Kathryn Stack, d","Wendy E.N Thomas, d","Bill Boyd, r","Tracy Coyer, r","John Frechette, r","Julie Miles, r", ,,,,,,,
Merrimack," 	7,070 "," 	7,479 ",7949,7056,7384,8096,,,,,,,,
,"Maureen Mooney, r","Jeanine Notter, r","Adam Presa, r","Rebekah Woodman, r",,,,,,,,,,
Merrimack,8483,7881,7918,7240,,,,,,,,,,
District No. 13 (6),"Ryan Burke, d","John Knowles, d","Alejandro Urrutia, d","Timothy Wyatt, d",, ,,,Undervotes,Overvotes,Write-Ins,,,
Hudson,5387,5405,5033,5363,,,,,24794,1,66,,,
,"Dillon Dumont, r","Cathy Kenny, r","Andrew Prout, r","Jeremy Slottje, r","Jordan G. Ulery, r","Robert Wherry, r",,,,,,,,
Hudson,7519,7718,7002,6345,6996,6573,,,,,,,,
District No. 14 (2),"Michael Aniskovich, d","Mahendra Bakshi, d","Richard W. Lascelles, r","Raymond C. Peeples Jr., r",,,,,Undervotes,Overvotes,Write-Ins,,,
Litchfield,1920,1525,3111,3060,,,,,1433,0,4,,,
District No. 15 (2),"Thomas Katsiantonis, d","Lara Quiroga, d","Mark McLean, r","Mark Proulx,r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 8,2092,2057,2656,2605,,,,,1567,0,2,,,
District No. 16 (2),"Dan Bergeron, d","Larry G. Gagne, r","William Infantine, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 6,2520,2530,2387,,,,,,3218,0,12,,,
District No 17 (2),"Linda DiSilvestro, d",RECOUNT,"David J. Preece, d",RECOUNT,"Ben Prescott, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Manchester Ward 2,2733,2736,2368,2368,2330,2332,3050,3090,2,2,15,16,,
District No. 18 (2),"Jessica Grill, d",RECOUNT,"Julie Smith, d",RECOUNT,"Juliet Belle DiPietro, r",RECOUNT,"Steven Kesselring, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT
Manchester Ward 12,2295,2296,2041,2041,1934,1934,2048,2050,898,888,0,4,2,3
District No. 19 (2),"Suzanne L. Chretien, d","Samuel Petali, d","Matt Drew, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 10,1986,1590,2134,,,,,,2827,0,23,,,
District No. 20 (2),"Alissandra Murray, d","Joshua Query, d","Pierre Dupont, r","Jose R. Marte, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 9,1905,1680,1889,1639,,,,,1263,0,9,,,
District No. 21 (2),"Christine Seibert, d","Matthew B. Wilhelm, d","Andrew Fromuth, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 1,3113,2648,2439,,,,,,3167,0,10,,,
District No. 22 (2),"Patricia Cornell, d","Nicole Leapley, d","Karl Beisel, r","Bill Gabler, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 11,1720,1614,1401,1550,,,,,1060,0,2,,,
District No. 23 (2),"MaryNgwanda Georges, d","Jean Jeudy, d","Tim Peters, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 3,1763,1699,1385,,,,,,2029,2,2,,,
District No. 24 (2),"Donald J. Bouchard, d",RECOUNT,"Chris Herbert, d",RECOUNT,"Dennis M. Demars, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Manchester Ward 4,1662,1665,1763,1767,1621,1632,2313,2299,4,0,14,15,,
District No. 25 (2),"Hyacinth J. Landry, d","Kathy Staub, d","Kathleen Paquette, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 5,1143,1252,1333,,,,,,1926,1,4,,,
District No. 26 (2),"Patrick N. Long, d","Michael Reuschel, d","Brian D. Cole, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 7,1843,1492,1882,,,,,,2537,0,6,,,
District No. 27 (1),"Susan Kane, d","Mary Murphy, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Deering,378,708,,,,,,,75,0,0,,,
Francestown,534,628,,,,,,,44,0,0,,,
Totals,912,1336,,,,,,,119,0,0,,,
District No. 28 (2),"Luke Drake Jr., d","David Erikson, d","Travis Corcoran, r","Keith Erf, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Weare,1804,1961,3004,3255,,,,,1458,0,1,,,
District No. 29 (4),"Jim Craig, d","Judy Johnson, d","Judi L. Lanza, d","Melanie Renfrew-Hebert, d",,,,,Undervotes,Overvotes,Write-Ins,,,
Goffstown,4484,4323,4385,4170,,,,,5844,4,8,,,
,"Joe Alexander, r","Henry R. Giasson III, r","Sherri Reinfurt, r","Sheila Seidel, r",,,,,,,,,,
Goffstown,5027,4566,4652,4876,,,,,,,,,,
District No. 30 (3),"William Bryk, d","Marjorie Porter, d","Michael H. Schamel, d","Riche Colcombe, r","Jim Creighton, r","Jim Fedolfi, r",,,Undervotes,Overvotes,Write-Ins,,,
Antrim,650,739,653,828,888,734,,,582,,1,,,
Bennington,325,348,335,442,451,374,,,421,3,1,,,
Hillsborough,1145,1420,1221,1816,1756,1693,,,1319,0,3,,,
Windsor,21,21,24,86,87,83,,,37,0,0,,,
Totals,2141,2528,2233,3172,3182,2884,,,2359,3,5,,,
District No. 31 (1),"Molly C. Howard, d","Jarvis M. Adams IV, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Greenfield,445,611,,,,,,,36,1,0,,,
Hancock,799,470,,,,,,,54,0,0,,,
