Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,,
State Representative - MERRIMACK County ,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,
District No. 1 (1),"Lorrie J. Carey, d","Rick Devoid, r",,,,,,,Undervotes,Overvotes,Write-Ins
Boscawen,956,1095,,,,,,,137,1,0
District No. 2 (1),"Greg Hill, r",,,,,,,,Undervotes,Overvotes,Write-Ins
Northfield,1901,,,,,,,,877,0,24
District No. 3 (2),"Scott A. Burns, d","Justine Hoppe, d","Ernesto L. Gonzalez, r","Bryan Morse, r",,,,,Undervotes,Overvotes,Write-Ins
Franklin Ward 1,558,441,709,778,,,,,543,1,1
Franklin Ward 2,579,519,616,665,,,,,478,0,1
Franklin Ward 3,674,571,684,735,,,,,505,0,5
Totals,1811,1531,2009,2178,,,,,1526,1,7
District No. 4 (2),"Edward R. Friedrich, d","Ruth Heath, d","Jose E. Cambrils, r","Michael Moffett, r",,,,,Undervotes,Overvotes,Write-Ins
Canterbury,881,977,596,725,,,,,331,0,1
Loudon,1205,1334,1927,2073,,,,,936,5,0
Totals,2086,2311,2523,2798,,,,,1267,5,1
District No. 5 (2),"Lorna Carlisle, d","David A. Nesbitt, d","Louise Andrus, r","Deborah Aylward, r",,,,,Undervotes,Overvotes,Write-Ins
Andover,753,716,748,619,,,,,13,2,2
Danbury,275,266,479,395,,,,,251,0,2
Hill,189,188,391,375,,,,,197,0,0
Salisbury,363,332,598,485,,,,,242,0,0
Webster,502,504,662,597,,,,,341,0,0
Totals,2082,2006,2878,2471,,,,,1044,2,4
District No. 6 (1),"Tom Schamberg, d","Victor Prieto, r",,,,,,,Undervotes,Overvotes,Write-Ins
Sutton,765,610,,,,,,,64,0,0
Wilmot,601,363,,,,,,,51,1,1
Totals,1366,973,,,,,,,115,1,1
District No. 7 (2),"Karen E. Ebel, d","Gregory M. Sargent, d","Dorothy L. Hitchmoth, r","Claire A. Ketteler, r",,,,,Undervotes,Overvotes,Write-Ins
New London,1931,1827,1187,920,,,,,468,4,0
Newbury,790,787,779,683,,,,,360,0,2
Totals,2721,2614,1966,1603,,,,,828,4,2
