Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,,,,,,
State Representative - ROCKINGHAM County,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,,,,
District No. 1 (3),"Charlotte Fyfe, d","Hal Rafter, d","Pamela Sanderson, d","Scott R. Bryer, r","James Guzofski, r","Paul D. Tudor, r",,,Undervotes,Overvotes,Write-Ins,,,,
Northwood,1149,1227,1207,1556,1449,1404,,,923,3,1,,,,
Nottingham,1673,1729,1594,1780,1743,1681,,,886,0,4,,,,
Totals,2822,2956,2801,3336,3192,3085,,,1809,3,5,,,,
District No. 2 (3),"Kendra Cohen, d","Nick Karakoudas, d","Judith Lindsey, d","Jason Osborne, r","James Spillane, r","Kevin Verville, r",,,Undervotes,Overvotes,Write-Ins,,,,
Auburn,1368,1291,1320,2335,2145,2100,,,1696,0,7,,,,
Candia,881,822,1023,1664,1624,1573,,,1281,0,1,,,,
Deerfield,1345,1213,1226,1793,1666,1726,,,1217,0,9,,,,
Totals,3594,3326,3569,5792,5435,5399,,,4194,0,17,,,,
District No. 3 (1),"Jane W. Van Zandt, d","Mary J. Ford, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Chester,1271,2107,,,,,,,170,1,3,,,,
District No. 4 (3),"David K. Bodman, d","Art Hunt, d","Christopher Lee, d","Cindy L. Bennett, r","Mike Drago, r","Brian Nadeau, r",,,Undervotes,Overvotes,Write-Ins,,,,
Raymond,1928,1857,1982,3389,3574,3440,,,2762,3,128,,,,
District No. 5 (2),"Jade A. Flad-Vilardi, d","Mark Vallone, d","Cody M. Belanger, r","Michael Vose, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Epping," 	1,511 "," 	2,541 "," 	2,337 "," 	2,511 ",,,,,1023,0,8,,,,
,,,,,,,,,,,,,,,
District No. 6 (1),"Eric S. Turer, d","Allen Cook, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Brentwood," 	1,534 "," 	1,496 ",,,,,,,97,2,1,,,,
District No. 7 (1),"Laurence A. Miner, r",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Fremont,2183,,,,,,,,926,0,29,,,,
District No. 8 (1),"Sheila S. Johannesen, d","Sayra Lynn DeVito, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Danville," 	1,035 "," 	1,680 ",,,,,,,162,0,3,,,,
District No. 9 (2),"Keith D. Cronyn, d","Leslie Kruithof, d","Donald Evan Selby, r","Vicki Wilson, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Sandown,1357,1357,2389,2376,,,,,994,2,1,,,,
District No. 10 (3),"Michael Cahill, d","Ellen Read, d","Toni Weinstein, d","Jeanene Cooper, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Newfield,626,599,519,592,,,,,1500,0,1,,,,
Newmarket,3448,3323,3276,2241,,,,,5722,0,22,,,,
Totals,4074,3922,3795,2833,,,,,7222,0,23,,,,
District No. 11 (4),"Julie D. Gilman, d","Gaby Grossman, d","Linda J. Haskins, d","Mark Paige, d","Robert Goeman, r","Brian Griset, r","William A. Smith, r",,Undervotes,Overvotes,Write-Ins,,,,
Exeter," 	6,126 "," 	6,026 "," 	5,840 "," 	6,111 ",3216,3233,3161,,7931,0,16,,,,
