Table 1
State of New Hampshire - 2024  General Election,,,,,,,,,,,,
State Representative - STRAFFORD County,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,
District No. 1 (2),"Manny Krasner, d","Fred Pitman, d","Sue DeLemus, r","Robley Hall, r",,,,,Undervotes,Overvotes,Write-Ins,
Farmington,1532,1240,1961,1640,,,,,1011,0,1,
District No. 2 (3),"Larry Brown, d","Pamela J. Hubbard, d","Marilyn J. Foster, d","Glenn Bailey, r","Claudine R. Burnham, r","Michael Granger, r",,,Undervotes,Overvotes,Write-Ins,
Milton,918,903,839,1472,1419,1403,,,1229,0,0,
Rochester Ward 5,1123,1251,1130,1463,1361,1432,,,1333,0,6,
Totals,2041,2154,1969,2935,2780,2835,,,2562,0,6,
District No. 3 (1),"Ellen Phillips, d","Susan DeRoy, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Middleton,316,755,,,,,,,74,0,0,
New Durham,669,1199,,,,,,,76,0,4,
Totals,985,1954,,,,,,,150,0,4,
District No. 4 (3),"Heath Howard, d","Cassandra Levesque, d","Adam Mulholland, d","Seamus Casey, r","Len Turcotte, r","Kurt Wuelper, r",,,Undervotes,Overvotes,Write-Ins,
Barrington,2862,3013,2749,2760,2965,2722,,,1920,6,2,
Strafford,1337,1275,1157,1287,1384,1461,,,1106,3,2,
Totals,4199,4288,3906,4047,4349,4183,,,3026,9,4,
District No. 4 (3) RECOUNT FIGURES,"Heath Howard, d","Cassandra Levesque, d","Adam Mulholland, d","Seamus Casey, r","Len Turcotte, r","Kurt Wuelper, r",,,Undervotes,Overvotes,Write-Ins,
Barrington,2862,3011,2748,2760,2964,2722,,,1918,9,2,
Strafford,1338,1275,1158,1290,1385,1462,,,1097,6,1,
Totals,4200,4286,3906,4050,4349,4184,,,3015,15,3,
District No. 5 (1),"Patricia Turner, d","Thomas L. Kaczynski Jr., r",,,,,,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 1,1365,1499,,,,,,,157,0,0,
District No. 6 (1),"Kathleen M. MacLeod, d","Denise DeDe-Poulin, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 2,1358,1482,,,,,,,195,0,1,
District No. 7 (1),"David Herman, d","Aidan Ankarberg, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 3,1282,1532,,,,,,,195,0,1,
District No. 8 (1),"Chuck Grassie, d","Samuel Farrington, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 4,1232,1498,,,,,,,73,0,2,
District No. 9 (1),"Amy Malone, d","Brandon Phinney, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 6,1234,1143,,,,,,,145,1,1,
District No. 10 (4),"Marjorie Smith, d","Wayne M. Burton, d","Timothy Horrigan, d","Loren Selig, d","Jeffrey D. Berlin, r",,,,Undervotes,Overvotes,Write-Ins,
Durham,5135,4850,4886,5076,2416,,,,11542,0,26,
District No. 11 (3),"Erik Johnson, d","Thomas Southworth, d","Janet G. Wall, d","Joe Bazo, r","Denis Grenier, r","Bill Taylor, r",,,Undervotes,Overvotes,Write-Ins,
Dover Ward 4,1916,1863,2005,1097,1125,1087,,,1580,0,1,
