Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,
State Representative - SULLIVAN County,,,,,,,,,,
"November 5, 2024",,,,,,,,,,
District No. 1 (1),"Brian M. Sullivan, d","Joel T. Hutchins, r",,,,Undervotes,Overvotes,Write-Ins,,
Grantham,1565,811,,,,86,0,2,,
District No. 2 (1),"William Palmer, d","Virginia Drye, r",,,,Undervotes,Overvotes,Write-Ins,,
Cornish,618,496,,,,27,0,0,,
Plainfield,1044,606,,,,62,2,0,,
Totals,1662,1102,,,,89,2,0,,
District No. 3 (3),"Nikki Murphy, d","Skip Rollins, r","Steven Smith, r","Walter Spilsbury, r",,Undervotes,Overvotes,Write-Ins,,
Charlestown,1014,1212,1340,1263,,2758,0,9,,
Newport,1275,2149,1719,1460,,3423,0,3,,
Unity,277,575,449,407,,986,25,0,,
Totals,2566,3936,3508,3130,,7167,25,12,,
District No. 4 (1),"Claudia Istel, d","Judy Aron, r",,,,Undervotes,Overvotes,Write-Ins,,
Acworth,264,303,,,,26,1,1,,
Goshen,144,295,,,,45,0,0,,
Langdon,177,231,,,,23,0,0,,
Lempster,278,434,,,,40,0,0,,
Washington,291,543,,,,54,0,0,,
Totals,1154,1806,,,,188,1,1,,
District No. 5 (1),"Linda Tanner, d",RECOUNT,"George C. Grant, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT
Springfield,447,447,471,471,29,28,0,0,2,3
Sunapee,1222,1223,1212,1215,77,77,0,0,1,1
Totals,1669,1670,1683,1686,106,105,0,0,3,4
District No. 6 (3),"John R. Cloutier, d","Dale Girard, d","Gary Merchant, d", ,,Undervotes,Overvotes,Write-Ins,,
Claremont Ward 1,789,780,728,,,989,0,2,,
Claremont Ward 2,1021,1083,987,,,1108,0,0,,
Claremont Ward 3,814,871,766,,,1101,0,1,,
Croydon,180,161,158,,,351,3,2,,
Totals,2804,2895,2639,,,3549,3,5,,
,"Wayne J. Hemingway, r","Robert W. Merrill Jr., r","Emily Sandblade, r","Sean F. McCarthy, i",,,,,,
Claremont Ward 1,666,519,507,181,,,,,,
Claremont Ward 2,944,786,751,208,,,,,,
Claremont Ward 3,863,674,640,194,,,,,,
Croydon,310,278,251,43,,,,,,
Totals,2783,2257,2149,626,,,,,,
District No. 7 (1) FL,"Margaret M. Drye, r","Jenny Ramsey, d",,,,Undervotes,Overvotes,Write-Ins,,
Charlestown,1341,1044,,,,144,0,3,,
Cornish,512,596,,,,33,0,0,,
Newport,1901,1262,,,,182,0,0,,
Plainfield,597,1064,,,,50,2,0,,
Unity,553,270,,,,82,0,0,,
Totals,4904,4236,,,,491,2,3,,
,,,,,,,,,,
District No. 8 (2) FL,"Hope Damon, d","Codi Raymond, d","Michael Aron, r","Jonathan F. Stone, r",,Undervotes,Overvotes,Write-Ins,,
Acworth,283,239,294,230,,144,0,0,,
Claremont Ward 1,841,772,613,639,,579,0,0,,
Claremont Ward 2,1074,1018,897,924,,679,0,0,,
Claremont Ward 3,872,802,766,849,,658,0,2,,
Croydon,223,171,300,269,,194,0,1,,
Goshen,163,141,263,233,,168,0,0,,
Langdon,170,153,215,187,,135,2,0,,
Lempster,308,265,392,349,,177,0,0,,
Springfield,447,391,404,416,,178,0,2,,
Sunapee,1291,1116,1102,1043,,467,0,0,,
Washington,320,283,498,442,,233,0,0,,
Totals,5992,5351,5744,5581,,3612,2,5,,
,,,,,,,,,,
 ,,,,,,,,,,
