elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"FEDERAL, STATE AND COUNTY",11001,"FOR GOVERNOR",REP,1984,1984,1,"MOIRA McCABE",REP,541,502,11003,12046,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11001,"FOR GOVERNOR",REP,1984,1984,2,"JOEL KINTSEL",REP,2597,3338,45652,51587,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11001,"FOR GOVERNOR",REP,1984,1984,3,"KEVIN STITT",REP,10014,13631,224880,248525,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11001,"FOR GOVERNOR",REP,1984,1984,4,"MARK SHERWOOD",REP,1754,2787,43172,47713,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,1984,1984,1,"STEVEN W. McQUILLEN",REP,3751,6225,94562,104538,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,1984,1984,2,"CINDY BYRD",REP,10642,13484,220307,244433,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11004,"FOR ATTORNEY GENERAL",REP,1984,1984,1,"GENTNER F. DRUMMOND",REP,8906,11039,160499,180444,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11004,"FOR ATTORNEY GENERAL",REP,1984,1984,2,"JOHN M. O'CONNOR",REP,5929,8990,159337,174256,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11005,"FOR STATE TREASURER",REP,1984,1984,1,"DAVID B. HOOTEN",REP,2742,3020,53959,59721,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11005,"FOR STATE TREASURER",REP,1984,1984,2,"CLARK JOLLEY",REP,5650,6129,102997,114776,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11005,"FOR STATE TREASURER",REP,1984,1984,3,"TODD RUSS",REP,5653,10102,148621,164376,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,1984,1984,1,"JOHN COX",REP,3602,4872,74591,83065,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,1984,1984,2,"WILLIAM E. CROZIER",REP,491,698,11761,12950,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,1984,1984,3,"APRIL GRACE",REP,4756,6166,94450,105372,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,1984,1984,4,"RYAN WALTERS",REP,5192,7797,129641,142630,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,1984,1984,1,"KEITH SWINTON",REP,1656,2305,42797,46758,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,1984,1984,2,"SEAN ROBERTS",REP,4119,6753,117797,128669,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,1984,1984,3,"LESLIE KATHRYN OSBORN",REP,8151,10028,142574,160753,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,1984,1984,1,"HAROLD D SPRADLING",REP,1606,2312,37701,41619,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,1984,1984,2,"JUSTIN HORNBACK",REP,2263,3401,61599,67263,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,1984,1984,3,"TODD THOMSEN",REP,3371,4471,78044,85886,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,1984,1984,4,"KIM DAVID",REP,6363,8651,120696,135710,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,1984,1984,1,"JACKSON LAHMEYER",REP,2364,5032,87176,94572,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,1984,1984,2,"JAMES LANKFORD",REP,11586,14166,217380,243132,,
6/28/2022,"FEDERAL, STATE AND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,1984,1984,3,"JOAN FARR",REP,1020,977,18764,20761,,
