elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"FEDERAL, STATE AND COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,1984,1984,1,"CHASE OLIVER | MIKE TER MAAT",LIB,672,973,7553,9198,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,1984,1984,2,"DONALD J. TRUMP | JD VANCE",REP,49427,198431,788355,1036213,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,1984,1984,3,"KAMALA D. HARRIS | TIM WALZ",DEM,51759,91751,356089,499599,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,1984,1984,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,792,1532,13696,16020,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,1984,1984,5,"CHRIS GARRITY | CODY BALLARD",IND,434,519,4190,5143,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10002,"FOR CORPORATION COMMISSIONER",,1984,1984,1,"CHAD WILLIAMS",LIB,6344,16114,91799,114257,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10002,"FOR CORPORATION COMMISSIONER",,1984,1984,2,"J. BRIAN BINGMAN",REP,50559,189544,739699,979802,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10002,"FOR CORPORATION COMMISSIONER",,1984,1984,3,"HAROLD D SPRADLING",DEM,43736,83225,317775,444736,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10003,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,296,296,1,"KEVIN HERN",REP,9576,24945,154311,188832,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10003,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,296,296,2,"DENNIS BAKER",DEM,10556,14803,82544,107903,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10003,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,296,296,3,"MARK DAVID GARCIA SANDERS",IND,683,1479,13604,15766,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,545,545,1,"JOSH BRECHEEN",REP,6399,52667,179057,238123,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,545,545,2,"BRANDON WADE",DEM,4123,15926,48792,68841,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,545,545,3,"RONNIE HOPKINS",IND,304,2097,11660,14061,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,361,361,1,"TOM COLE",REP,10390,45081,144491,199962,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,361,361,2,"MARY BRANNON",DEM,8737,21186,56718,86641,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,361,361,3,"JAMES STACY",IND,971,3579,15320,19870,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10007,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",,320,320,1,"STEPHANIE BICE",REP,18712,33665,155259,207636,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10007,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",,320,320,2,"MADISON HORN",DEM,18531,19408,96532,134471,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10009,"FOR STATE SENATOR DISTRICT 3",,42,42,1,"JULIE McINTOSH",REP,813,6714,21285,28812,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10009,"FOR STATE SENATOR DISTRICT 3",,42,42,2,"MARGARET COOK",IND,446,1854,5485,7785,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10011,"FOR STATE SENATOR DISTRICT 7",,71,71,1,"WARREN D HAMILTON",REP,578,5640,19255,25473,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10011,"FOR STATE SENATOR DISTRICT 7",,71,71,2,"JERRY L. DONATHAN",DEM,342,1636,5678,7656,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10015,"FOR STATE SENATOR DISTRICT 15",,35,35,1,"LISA STANDRIDGE",REP,1590,6479,16737,24806,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10015,"FOR STATE SENATOR DISTRICT 15",,35,35,2,"ELIZABETH FOREMAN",DEM,1985,4588,8805,15378,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10018,"FOR STATE SENATOR DISTRICT 21",,28,28,1,"RANDY GRELLNER",REP,592,4216,13664,18472,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10018,"FOR STATE SENATOR DISTRICT 21",,28,28,2,"ROBIN FUXA",DEM,693,2816,6624,10133,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10020,"FOR STATE SENATOR DISTRICT 25",,36,36,1,"BRIAN GUTHRIE",REP,1484,2348,21955,25787,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10020,"FOR STATE SENATOR DISTRICT 25",,36,36,2,"KAREN ANN GADDIS",DEM,1342,1300,9963,12605,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10024,"FOR STATE SENATOR DISTRICT 33",,31,31,1,"CHRISTI GILLESPIE",REP,1277,2184,19644,23105,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10024,"FOR STATE SENATOR DISTRICT 33",,31,31,2,"BOB WILLIS",DEM,1164,1212,8878,11254,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10025,"FOR STATE SENATOR DISTRICT 35",,38,38,1,"DEAN MARTIN",REP,961,1821,12992,15774,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10025,"FOR STATE SENATOR DISTRICT 35",,38,38,2,"JO ANNA DOSSETT",DEM,2284,2830,17752,22866,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10026,"FOR STATE SENATOR DISTRICT 37",,28,28,1,"AARON REINHARDT",REP,950,1533,16604,19087,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10026,"FOR STATE SENATOR DISTRICT 37",,28,28,2,"ANDREW NUTTER",IND,675,862,6795,8332,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10027,"FOR STATE SENATOR DISTRICT 39",,31,31,1,"DAVE RADER",REP,1529,2096,16701,20326,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10027,"FOR STATE SENATOR DISTRICT 39",,31,31,2,"MELISSA BRYCE",DEM,1678,1740,12356,15774,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10029,"FOR STATE SENATOR DISTRICT 43",,46,46,1,"KENDAL SACCHIERI",REP,1198,4838,24013,30049,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10029,"FOR STATE SENATOR DISTRICT 43",,46,46,2,"SAM GRAEFE",DEM,614,1171,5497,7282,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10031,"FOR STATE SENATOR DISTRICT 47",,28,28,1,"KELLY E. HINES",REP,2914,2834,15204,20952,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10031,"FOR STATE SENATOR DISTRICT 47",,28,28,2,"ERIN BREWER",DEM,3255,2342,13024,18621,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10032,"FOR STATE SENATOR DISTRICT 46 (UNEXPIRED TERM)",,28,28,1,"CHARLES BARTON",REP,527,594,6107,7228,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10032,"FOR STATE SENATOR DISTRICT 46 (UNEXPIRED TERM)",,28,28,2,"MARK MANN",DEM,1340,1390,9992,12722,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10032,"FOR STATE SENATOR DISTRICT 46 (UNEXPIRED TERM)",,28,28,3,"DAVID PILCHMAN",IND,72,67,968,1107,,
