elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/18/2024,"FEDERAL, STATE AND COUNTY",12001,"FOR CORPORATION COMMISSIONER",REP,1984,1984,1,"J. BRIAN BINGMAN",REP,4636,10481,111661,126778,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12001,"FOR CORPORATION COMMISSIONER",REP,1984,1984,2,"RUSSELL RAY",REP,1955,3221,37340,42516,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12001,"FOR CORPORATION COMMISSIONER",REP,1984,1984,3,"JUSTIN HORNBACK",REP,2133,5713,60193,68039,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12002,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",REP,296,296,1,"KEVIN HERN",REP,1254,1617,27373,30244,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12002,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",REP,296,296,2,"PAUL ROYSE",REP,225,227,4052,4504,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,462,462,1,"FRANK D. LUCAS",REP,1247,3815,32096,37158,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,462,462,2,"ROBIN LYNN CARDER",REP,201,614,5836,6651,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,462,462,3,"DARREN HAMILTON",REP,169,607,6311,7087,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,361,361,1,"NICK HANKINS",REP,56,123,1078,1257,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,361,361,2,"ANDREW HAYES",REP,118,218,2215,2551,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,361,361,3,"TOM COLE",REP,1708,3429,35256,40393,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,361,361,4,"PAUL L. BONDAR",REP,264,1257,14606,16127,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,361,361,5,"RICK WHITEBEAR HARRIS",REP,99,171,1901,2171,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12007,"FOR STATE SENATOR DISTRICT 1",REP,47,47,1,"HOUSTON BRITTAIN",REP,45,258,2604,2907,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12007,"FOR STATE SENATOR DISTRICT 1",REP,47,47,2,"MICHEAL BERGSTROM",REP,79,217,3032,3328,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12008,"FOR STATE SENATOR DISTRICT 3",REP,42,42,1,"JULIE McINTOSH",REP,51,351,2796,3198,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12008,"FOR STATE SENATOR DISTRICT 3",REP,42,42,2,"BLAKE COWBOY STEPHENS",REP,55,299,2899,3253,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12008,"FOR STATE SENATOR DISTRICT 3",REP,42,42,3,"PATRICK SAMPSON",REP,43,217,1832,2092,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12013,"FOR STATE SENATOR DISTRICT 13",REP,59,59,1,"GREG McCORTNEY",REP,80,363,3103,3546,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12013,"FOR STATE SENATOR DISTRICT 13",REP,59,59,2,"JONATHAN WINGARD",REP,44,317,3446,3807,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,1,"BRANDON NOFIRE",REP,23,37,332,392,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,2,"KYLE CHAPMAN",REP,12,19,338,369,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,3,"KELLY LYNN",REP,45,122,1209,1376,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,4,"ROBERT C. KEYES",REP,136,175,1892,2203,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,5,"TOMMIE HERELL",REP,51,91,928,1070,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,6,"LISA STANDRIDGE",REP,159,253,2417,2829,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12015,"FOR STATE SENATOR DISTRICT 17",REP,30,30,1,"RON SHARP",REP,118,176,1627,1921,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12015,"FOR STATE SENATOR DISTRICT 17",REP,30,30,2,"CODY SWEARINGEN",REP,20,20,219,259,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12015,"FOR STATE SENATOR DISTRICT 17",REP,30,30,3,"SHANE JETT",REP,130,261,3182,3573,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12015,"FOR STATE SENATOR DISTRICT 17",REP,30,30,4,"RACHAEL MELOT",REP,70,128,1184,1382,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12017,"FOR STATE SENATOR DISTRICT 21",REP,28,28,1,"RANDY GRELLNER",REP,89,406,3637,4132,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12017,"FOR STATE SENATOR DISTRICT 21",REP,28,28,2,"JAMES WINN",REP,19,72,407,498,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12017,"FOR STATE SENATOR DISTRICT 21",REP,28,28,3,"KURT MURRAY",REP,20,86,451,557,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12019,"FOR STATE SENATOR DISTRICT 25",REP,36,36,1,"JEFF BOATMAN",REP,142,162,2003,2307,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12019,"FOR STATE SENATOR DISTRICT 25",REP,36,36,2,"BRIAN GUTHRIE",REP,111,146,2816,3073,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12020,"FOR STATE SENATOR DISTRICT 27",REP,85,85,1,"CODY ANDERSON",REP,133,642,4152,4927,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12020,"FOR STATE SENATOR DISTRICT 27",REP,85,85,2,"CASEY MURDOCK",REP,183,679,4463,5325,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12021,"FOR STATE SENATOR DISTRICT 29",REP,46,46,1,"WENDI STEARMAN",REP,61,258,3076,3395,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12021,"FOR STATE SENATOR DISTRICT 29",REP,46,46,2,"JULIE DANIELS",REP,80,385,3679,4144,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12022,"FOR STATE SENATOR DISTRICT 31",REP,59,59,1,"PAMALA McNALL-GRANIER",REP,28,135,1052,1215,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12022,"FOR STATE SENATOR DISTRICT 31",REP,59,59,2,"RICK WOLFE",REP,49,265,1980,2294,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12022,"FOR STATE SENATOR DISTRICT 31",REP,59,59,3,"SPENCER KERN",REP,71,381,3149,3601,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,1,"BILL BICKERSTAFF",REP,36,44,952,1032,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,2,"SHELLEY GWARTNEY",REP,39,53,1082,1174,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,3,"TIM BROOKS",REP,20,17,373,410,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,4,"CHRISTI GILLESPIE",REP,57,80,1944,2081,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12025,"FOR STATE SENATOR DISTRICT 37",REP,28,28,1,"AARON REINHARDT",REP,73,87,1942,2102,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12025,"FOR STATE SENATOR DISTRICT 37",REP,28,28,2,"CODY ROGERS",REP,70,54,1893,2017,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12028,"FOR STATE SENATOR DISTRICT 43",REP,46,46,1,"KENDAL SACCHIERI",REP,141,300,4702,5143,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12028,"FOR STATE SENATOR DISTRICT 43",REP,46,46,2,"JESSICA GARVIN",REP,166,302,4044,4512,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12030,"FOR STATE SENATOR DISTRICT 47",REP,28,28,1,"KELLY E. HINES",REP,162,64,1663,1889,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12030,"FOR STATE SENATOR DISTRICT 47",REP,28,28,2,"AARON CURRY",REP,136,49,1383,1568,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12030,"FOR STATE SENATOR DISTRICT 47",REP,28,28,3,"JENNY SCHMITT",REP,182,37,1360,1579,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12034,"FOR STATE REPRESENTATIVE DISTRICT 2",REP,25,25,1,"JIM OLSEN",REP,25,267,1644,1936,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12034,"FOR STATE REPRESENTATIVE DISTRICT 2",REP,25,25,2,"E.O. JR. SMITH",REP,20,143,1225,1388,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12042,"FOR STATE REPRESENTATIVE DISTRICT 10",REP,28,28,1,"JUDD STROM",REP,52,196,2317,2565,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12042,"FOR STATE REPRESENTATIVE DISTRICT 10",REP,28,28,2,"CHAD McCARTHY",REP,23,90,1323,1436,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12045,"FOR STATE REPRESENTATIVE DISTRICT 13",REP,24,24,1,"NEIL HAYS",REP,17,124,1401,1542,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12045,"FOR STATE REPRESENTATIVE DISTRICT 13",REP,24,24,2,"JAROD MENDENHALL",REP,6,24,384,414,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12047,"FOR STATE REPRESENTATIVE DISTRICT 15",REP,35,35,1,"GAIL JACKSON",REP,1,17,130,148,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12047,"FOR STATE REPRESENTATIVE DISTRICT 15",REP,35,35,2,"TIM TURNER",REP,14,194,1679,1887,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12047,"FOR STATE REPRESENTATIVE DISTRICT 15",REP,35,35,3,"SPRING MORROW",REP,9,44,429,482,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12047,"FOR STATE REPRESENTATIVE DISTRICT 15",REP,35,35,4,"PAUL PALMER",REP,16,89,819,924,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12047,"FOR STATE REPRESENTATIVE DISTRICT 15",REP,35,35,5,"CASEY JOHNSON",REP,4,11,130,145,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,1,"LONNIE J. BURNS",REP,11,22,207,240,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,2,"ALIVIA SNOW",REP,33,25,850,908,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,3,"MIKE FULLERTON",REP,28,38,634,700,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,4,"JONATHAN WILK",REP,44,52,1135,1231,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,5,"MIKE WHALEY",REP,50,57,1140,1247,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12054,"FOR STATE REPRESENTATIVE DISTRICT 22",REP,39,39,1,"TROY GOLDEN",REP,30,244,1155,1429,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12054,"FOR STATE REPRESENTATIVE DISTRICT 22",REP,39,39,2,"RYAN EAVES",REP,36,405,1891,2332,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12055,"FOR STATE REPRESENTATIVE DISTRICT 23",REP,12,12,1,"CONNOR WHITHAM",REP,10,18,473,501,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12055,"FOR STATE REPRESENTATIVE DISTRICT 23",REP,12,12,2,"DERRICK R. HILDEBRANT",REP,43,102,1136,1281,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12057,"FOR STATE REPRESENTATIVE DISTRICT 25",REP,22,22,1,"RONNY JOHNS",REP,38,225,2219,2482,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12057,"FOR STATE REPRESENTATIVE DISTRICT 25",REP,22,22,2,"ROBERT BURCH",REP,8,84,839,931,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12060,"FOR STATE REPRESENTATIVE DISTRICT 28",REP,20,20,1,"DANNY WILLIAMS",REP,73,164,1758,1995,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12060,"FOR STATE REPRESENTATIVE DISTRICT 28",REP,20,20,2,"DARLENE WALLACE",REP,35,108,1073,1216,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12064,"FOR STATE REPRESENTATIVE DISTRICT 32",REP,21,21,1,"KEVIN WALLACE",REP,39,231,1866,2136,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12064,"FOR STATE REPRESENTATIVE DISTRICT 32",REP,21,21,2,"JIM SHAW",REP,39,291,2018,2348,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12064,"FOR STATE REPRESENTATIVE DISTRICT 32",REP,21,21,3,"JASON SHILLING",REP,15,51,567,633,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12065,"FOR STATE REPRESENTATIVE DISTRICT 33",REP,18,18,1,"MOLLY JENKINS",REP,55,264,2153,2472,,
6/18/2024,"FEDERAL, STATE AND COUNTY",12065,"FOR STATE REPRESENTATIVE DISTRICT 33",REP,18,18,2,"JOHN TALLEY",REP,44,267,1309,1620,,
