"Contest ID","Contest Name","Location","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"81","State Representative District 01","Clay","17","17","0","3937","150","Jeremy Wooldridge Justice of the Peace","3061","77.75"
"81","State Representative District 01","Clay","17","17","0","3937","151","Teresa L. Roofe","876","22.25"
"81","State Representative District 01","Greene","6","6","0","2927","150","Jeremy Wooldridge Justice of the Peace","2456","83.91"
"81","State Representative District 01","Greene","6","6","0","2927","151","Teresa L. Roofe","471","16.09"
"81","State Representative District 01","Randolph","16","16","0","1765","150","Jeremy Wooldridge Justice of the Peace","1510","85.55"
"81","State Representative District 01","Randolph","16","16","0","1765","151","Teresa L. Roofe","255","14.45"
"1108","State Representative District 02","Fulton","7","7","0","2993","2147","Trey Steimel","2465","82.36"
"1108","State Representative District 02","Fulton","7","7","0","2993","2146","Teresa M. Norman","528","17.64"
"1108","State Representative District 02","Randolph","14","14","0","3496","2147","Trey Steimel","3019","86.36"
"1108","State Representative District 02","Randolph","14","14","0","3496","2146","Teresa M. Norman","477","13.64"
"1108","State Representative District 02","Sharp","9","9","0","2926","2147","Trey Steimel","2411","82.40"
"1108","State Representative District 02","Sharp","9","9","0","2926","2146","Teresa M. Norman","515","17.60"
"1144","State Representative District 03","Fulton","3","3","0","813","2213","Stetson Painter","719","88.44"
"1144","State Representative District 03","Fulton","3","3","0","813","2214","Steven Gene Parsons","94","11.56"
"1144","State Representative District 03","Baxter","9","9","0","10321","2213","Stetson Painter","8486","82.22"
"1144","State Representative District 03","Baxter","9","9","0","10321","2214","Steven Gene Parsons","1835","17.78"
"1060","State Representative District 04","Marion","31","31","0","5368","2054","Representative Jack Fortner","5368","100.00"
"1060","State Representative District 04","Baxter","6","6","0","4422","2054","Representative Jack Fortner","4422","100.00"
"1238","State Representative District 05","Boone","10","10","0","10185","2381","Representative Ron McNair","8388","82.36"
"1238","State Representative District 05","Boone","10","10","0","10185","2380","Jim A. Hall","1797","17.64"
"635","State Representative District 06","Carroll","9","9","0","7801","1225","Representative Harlan Breaux","4695","60.18"
"635","State Representative District 06","Carroll","9","9","0","7801","1224","Markeeta Tucker","2590","33.20"
"635","State Representative District 06","Carroll","9","9","0","7801","1223","Dakota Logan","516","6.61"
"635","State Representative District 06","Boone","3","3","0","2357","1225","Representative Harlan Breaux","1955","82.94"
"635","State Representative District 06","Boone","3","3","0","2357","1224","Markeeta Tucker","311","13.19"
"635","State Representative District 06","Boone","3","3","0","2357","1223","Dakota Logan","91","3.86"
"681","State Representative District 07","Benton","15","15","0","6325","1302","Brit McKenzie","6325","100.00"
"1055","State Representative District 08","Benton","17","17","0","8469","2045","Representative Austin McCollum","8469","100.00"
"1220","State Representative District 09","Washington","13","13","0","2862","2341","DeAnna Hodges","1431","50.00"
"1220","State Representative District 09","Washington","13","13","0","2862","2342","Diana Gonzales Worthen","1322","46.19"
"1220","State Representative District 09","Washington","13","13","0","2862","2343","Steven Stilling","109","3.81"
"998","State Representative District 10","Benton","19","19","0","11578","1928","Mindy McAlindon","6519","56.31"
"998","State Representative District 10","Benton","19","19","0","11578","1927","Kate Schaffer","5059","43.69"
"659","State Representative District 11","Benton","8","8","0","3270","1266","Rebecca Burkes","2121","64.86"
