"Contest ID","Contest Name","Location","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"87","State Senate District 01","Jefferson","21","21","0","3730","193","Senator Ben Gilmore","2904","77.86"
"87","State Senate District 01","Jefferson","21","21","0","3730","192","Asher Williams","826","22.14"
"87","State Senate District 01","Bradley","14","14","0","3067","193","Senator Ben Gilmore","2350","76.62"
"87","State Senate District 01","Bradley","14","14","0","3067","192","Asher Williams","717","23.38"
"87","State Senate District 01","Ashley","30","30","0","6724","193","Senator Ben Gilmore","5371","79.88"
"87","State Senate District 01","Ashley","30","30","0","6724","192","Asher Williams","1353","20.12"
"87","State Senate District 01","Chicot","7","7","0","3263","193","Senator Ben Gilmore","1908","58.47"
"87","State Senate District 01","Chicot","7","7","0","3263","192","Asher Williams","1355","41.53"
"87","State Senate District 01","Cleveland","17","17","0","3252","193","Senator Ben Gilmore","2864","88.07"
"87","State Senate District 01","Cleveland","17","17","0","3252","192","Asher Williams","388","11.93"
"87","State Senate District 01","Drew","15","15","0","5979","193","Senator Ben Gilmore","4362","72.96"
"87","State Senate District 01","Drew","15","15","0","5979","192","Asher Williams","1617","27.04"
"87","State Senate District 01","Grant","3","3","0","1240","193","Senator Ben Gilmore","1074","86.61"
"87","State Senate District 01","Grant","3","3","0","1240","192","Asher Williams","166","13.39"
"87","State Senate District 01","Lincoln","15","15","0","2391","193","Senator Ben Gilmore","2100","87.83"
"87","State Senate District 01","Lincoln","15","15","0","2391","192","Asher Williams","291","12.17"
"597","State Senate District 03","Nevada","20","20","0","2448","1300","Senator Steve Crowell","2448","100.00"
"597","State Senate District 03","Clark","20","20","0","6141","1300","Senator Steve Crowell","6141","100.00"
"597","State Senate District 03","Pike","5","5","0","1809","1300","Senator Steve Crowell","1809","100.00"
"597","State Senate District 03","Hempstead","18","18","0","4310","1300","Senator Steve Crowell","4310","100.00"
"597","State Senate District 03","Lafayette","9","9","0","1921","1300","Senator Steve Crowell","1921","100.00"
"597","State Senate District 03","Columbia","14","14","0","6470","1300","Senator Steve Crowell","6470","100.00"
"597","State Senate District 03","Hot Spring","3","3","0","1517","1300","Senator Steve Crowell","1517","100.00"
"92","State Senate District 04","Hempstead","6","6","0","870","203","Senator Jimmy Hickey, Jr.","612","70.34"
