"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"President and Vice President (Vote For 1)","CON Randall A Terry/Stephen E Broden","CON",5352,0.21,3343423,2566404,46,46,"0","0"
2,"President and Vice President (Vote For 1)","UNC Cornel West/Melina Abdulla","UNC",6744,0.26,3343423,2566404,46,46,"0","0"
3,"President and Vice President (Vote For 1)","GRN Jill Stein/Rudolph Butch Ware","GRN",8117,0.32,3343423,2566404,46,46,"0","0"
4,"President and Vice President (Vote For 1)","REP Donald J Trump/JD Vance","REP",1483747,58.23,3343423,2566404,46,46,"0","0"
5,"President and Vice President (Vote For 1)","LIB Chase Oliver/Mike ter Maat","LIB",12669,0.50,3343423,2566404,46,46,"0","0"
6,"President and Vice President (Vote For 1)","DEM Kamala D Harris/Tim Walz","DEM",1028452,40.36,3343423,2566404,46,46,"0","0"
7,"President and Vice President (Vote For 1)","WRK Claudia De La Cruz/Karina Garcia","WRK",3059,0.12,3343423,2566404,46,46,"0","0"
8,"U.S.  House of Representatives, District  1 (Vote For 1)","REP Nancy Mace","REP",227502,58.22,708277,407202,6,6,"0","0"
9,"U.S.  House of Representatives, District  1 (Vote For 1)","DEM Michael B Moore","DEM",162582,41.60,708277,407202,6,6,"0","0"
10,"U.S.  House of Representatives, District  1 (Vote For 1)","Write-In","NON",693,0.18,708277,407202,6,6,"0","0"
11,"U.S.  House of Representatives, District  2 (Vote For 1)","REP Joe Wilson","REP",211514,59.53,624683,371483,5,5,"0","0"
12,"U.S.  House of Representatives, District  2 (Vote For 1)","DEM David Robinson II","DEM",142985,40.25,624683,371483,5,5,"0","0"
13,"U.S.  House of Representatives, District  2 (Vote For 1)","Write-In","NON",786,0.22,624683,371483,5,5,"0","0"
14,"U.S.  House of Representatives, District  3 (Vote For 1)","REP Sheri Biggs","REP",248451,71.66,754408,359976,11,11,"0","0"
15,"U.S.  House of Representatives, District  3 (Vote For 1)","ALN Mike Bedenbaugh","ALN",9918,2.86,754408,359976,11,11,"0","0"
16,"U.S.  House of Representatives, District  3 (Vote For 1)","DEM Bryon L Best","DEM",87735,25.30,754408,359976,11,11,"0","0"
17,"U.S.  House of Representatives, District  3 (Vote For 1)","Write-In","NON",609,0.18,754408,359976,11,11,"0","0"
18,"U.S.  House of Representatives, District  4 (Vote For 1)","CON Mark Hackett","CON",9779,2.82,548283,359976,2,2,"0","0"
19,"U.S.  House of Representatives, District  4 (Vote For 1)","REP William Timmons","REP",206916,59.73,548283,359976,2,2,"0","0"
20,"U.S.  House of Representatives, District  4 (Vote For 1)","DEM Kathryn Harvey","DEM",128976,37.23,548283,359976,2,2,"0","0"
21,"U.S.  House of Representatives, District  4 (Vote For 1)","Write-In","NON",743,0.21,548283,359976,2,2,"0","0"
22,"U.S.  House of Representatives, District  5 (Vote For 1)","REP Ralph W Norman","REP",228260,63.51,664390,376871,10,10,"0","0"
23,"U.S.  House of Representatives, District  5 (Vote For 1)","DEM Evangeline Hundley","DEM",130592,36.34,664390,376871,10,10,"0","0"
24,"U.S.  House of Representatives, District  5 (Vote For 1)","Write-In","NON",557,0.15,664390,376871,10,10,"0","0"
25,"U.S.  House of Representatives, District  6 (Vote For 1)","UNC Gregg Marcel Dixon","UNC",4927,1.61,950063,324717,14,14,"0","0"
26,"U.S.  House of Representatives, District  6 (Vote For 1)","REP Duke Buckner","REP",112360,36.72,950063,324717,14,14,"0","0"
27,"U.S.  House of Representatives, District  6 (Vote For 1)","ALN Joseph Oddo","ALN",1056,0.35,950063,324717,14,14,"0","0"
28,"U.S.  House of Representatives, District  6 (Vote For 1)","LIB Michael Simpson","LIB",5279,1.73,950063,324717,14,14,"0","0"
29,"U.S.  House of Representatives, District  6 (Vote For 1)","DEM James E Jim Clyburn","DEM",182056,59.50,950063,324717,14,14,"0","0"
30,"U.S.  House of Representatives, District  6 (Vote For 1)","Write-In","NON",299,0.10,950063,324717,14,14,"0","0"
31,"U.S.  House of Representatives, District  7 (Vote For 1)","REP Russell Fry","REP",240326,64.90,516967,387593,8,8,"0","0"
32,"U.S.  House of Representatives, District  7 (Vote For 1)","DEM Mal Hyman","DEM",129522,34.97,516967,387593,8,8,"0","0"
33,"U.S.  House of Representatives, District  7 (Vote For 1)","Write-In","NON",481,0.13,516967,387593,8,8,"0","0"
34,"State  Senate, District  1 (Vote For 1)","REP Thomas C Alexander","REP",41348,98.91,129749,51130,2,2,"0","0"
35,"State  Senate, District  1 (Vote For 1)","Write-In","NON",455,1.09,129749,51130,2,2,"0","0"
36,"State  Senate, District  2 (Vote For 1)","REP Rex F Rice","REP",47204,98.89,417763,59135,2,2,"0","0"
37,"State  Senate, District  2 (Vote For 1)","Write-In","NON",530,1.11,417763,59135,2,2,"0","0"
38,"State  Senate, District  3 (Vote For 1)","REP Richard Cash","REP",46333,75.41,125731,63672,1,1,"0","0"
39,"State  Senate, District  3 (Vote For 1)","DEM Jessicka Spearman","DEM",15047,24.49,125731,63672,1,1,"0","0"
40,"State  Senate, District  3 (Vote For 1)","Write-In","NON",62,0.10,125731,63672,1,1,"0","0"
41,"State  Senate, District  4 (Vote For 1)","REP Mike Gambrell","REP",37010,99.25,141652,47567,2,2,"0","0"
42,"State  Senate, District  4 (Vote For 1)","Write-In","NON",280,0.75,141652,47567,2,2,"0","0"
43,"State  Senate, District  5 (Vote For 1)","REP Tom Corbin","REP",49132,98.89,548283,61861,2,2,"0","0"
44,"State  Senate, District  5 (Vote For 1)","Write-In","NON",549,1.11,548283,61861,2,2,"0","0"
45,"State  Senate, District  6 (Vote For 1)","REP Jason Elliott","REP",40759,97.55,341455,57687,1,1,"0","0"
46,"State  Senate, District  6 (Vote For 1)","Write-In","NON",1025,2.45,341455,57687,1,1,"0","0"
47,"State  Senate, District  7 (Vote For 1)","DEM Karl B Allen","DEM",29967,97.07,341455,51089,1,1,"0","0"
48,"State  Senate, District  7 (Vote For 1)","Write-In","NON",906,2.93,341455,51089,1,1,"0","0"
49,"State  Senate, District  8 (Vote For 1)","REP Ross Turner","REP",39251,62.98,341455,65096,1,1,"0","0"
50,"State  Senate, District  8 (Vote For 1)","DEM Taylor Culliver","DEM",23011,36.92,341455,65096,1,1,"0","0"
51,"State  Senate, District  8 (Vote For 1)","Write-In","NON",64,0.10,341455,65096,1,1,"0","0"
52,"State  Senate, District  9 (Vote For 1)","REP Danny Verdin","REP",38275,70.24,397266,60166,3,3,"0","0"
53,"State  Senate, District  9 (Vote For 1)","DEM C Randy Driggers","DEM",16151,29.64,397266,60166,3,3,"0","0"
54,"State  Senate, District  9 (Vote For 1)","Write-In","NON",62,0.11,397266,60166,3,3,"0","0"
55,"State  Senate, District  10 (Vote For 1)","REP Billy Garrett","REP",38994,69.09,242992,61289,3,3,"0","0"
56,"State  Senate, District  10 (Vote For 1)","DEM Francie Kleckley","DEM",17349,30.74,242992,61289,3,3,"0","0"
57,"State  Senate, District  10 (Vote For 1)","Write-In","NON",99,0.18,242992,61289,3,3,"0","0"
58,"State  Senate, District  11 (Vote For 1)","REP Josh Kimbrell","REP",30362,65.25,206828,48324,1,1,"0","0"
59,"State  Senate, District  11 (Vote For 1)","DEM Angela L Geter","DEM",16118,34.64,206828,48324,1,1,"0","0"
60,"State  Senate, District  11 (Vote For 1)","Write-In","NON",51,0.11,206828,48324,1,1,"0","0"
61,"State  Senate, District  12 (Vote For 1)","REP Roger Allen Nutt","REP",36715,64.04,548283,60926,2,2,"0","0"
62,"State  Senate, District  12 (Vote For 1)","DEM Octavia Amaechi","DEM",20545,35.84,548283,60926,2,2,"0","0"
63,"State  Senate, District  12 (Vote For 1)","Write-In","NON",70,0.12,548283,60926,2,2,"0","0"
64,"State  Senate, District  13 (Vote For 1)","REP Shane Martin","REP",44583,98.42,564258,60859,3,3,"0","0"
65,"State  Senate, District  13 (Vote For 1)","Write-In","NON",714,1.58,564258,60859,3,3,"0","0"
66,"State  Senate, District  14 (Vote For 1)","REP Harvey Peeler","REP",43933,99.09,446703,54473,4,4,"0","0"
67,"State  Senate, District  14 (Vote For 1)","Write-In","NON",402,0.91,446703,54473,4,4,"0","0"
68,"State  Senate, District  15 (Vote For 1)","REP Wes Climer","REP",41008,76.05,190236,63988,1,1,"0","0"
69,"State  Senate, District  15 (Vote For 1)","ALN Sarah Work","ALN",12669,23.49,190236,63988,1,1,"0","0"
70,"State  Senate, District  15 (Vote For 1)","Write-In","NON",246,0.46,190236,63988,1,1,"0","0"
71,"State  Senate, District  16 (Vote For 1)","REP Michael Johnson","REP",45672,78.78,259031,70211,2,2,"0","0"
72,"State  Senate, District  16 (Vote For 1)","WRK Kiral Mace","WRK",12007,20.71,259031,70211,2,2,"0","0"
73,"State  Senate, District  16 (Vote For 1)","Write-In","NON",298,0.51,259031,70211,2,2,"0","0"
74,"State  Senate, District  17 (Vote For 1)","REP Everett Stubbs","REP",27953,49.98,294611,58304,4,4,"0","0"
75,"State  Senate, District  17 (Vote For 1)","DEM Mike Fanning","DEM",27924,49.93,294611,58304,4,4,"0","0"
