"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","CAROL MILLER","REP",151511,66.69,0,239018,28,28,"0","0"
2,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","MR. LACY WATSON","DEM",65428,28.80,0,239018,28,28,"0","0"
3,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","BELINDA FOX-SPENCER","IND",10257,4.51,0,239018,28,28,"0","0"
4,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District (Vote For 1)","ALEXANDER X. MOONEY","REP",160493,65.57,0,252890,27,27,"0","0"
5,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District (Vote For 1)","BARRY LEE WENDELL","DEM",84278,34.43,0,252890,27,27,"0","0"
6,"Amendment No. 1: Clarification of the Judiciary’s Role in Impeachment Proceedings Amendment (Vote For 1)","AGAINST","",269316,57.81,0,491908,55,55,"0","0"
7,"Amendment No. 1: Clarification of the Judiciary’s Role in Impeachment Proceedings Amendment (Vote For 1)","FOR","",196519,42.19,0,491908,55,55,"0","0"
8,"Amendment No. 2: Property Tax Modernization Amendment (Vote For 1)","AGAINST","",309007,64.51,0,491908,55,55,"0","0"
9,"Amendment No. 2: Property Tax Modernization Amendment (Vote For 1)","FOR","",170013,35.49,0,491908,55,55,"0","0"
10,"Amendment No. 3: Incorporation of Churches or Religious Denominations Amendment (Vote For 1)","AGAINST","",253379,54.55,0,491908,55,55,"0","0"
11,"Amendment No. 3: Incorporation of Churches or Religious Denominations Amendment (Vote For 1)","FOR","",211147,45.45,0,491908,55,55,"0","0"
12,"Amendment No. 4: Education Accountability Amendment (Vote For 1)","AGAINST","",275683,57.86,0,491908,55,55,"0","0"
13,"Amendment No. 4: Education Accountability Amendment (Vote For 1)","FOR","",200791,42.14,0,491908,55,55,"0","0"
14,"STATE SENATOR, 1st Senatorial District (Vote For 1)","LAURA WAKIM CHAPMAN","REP",18746,60.46,0,31589,4,4,"0","0"
15,"STATE SENATOR, 1st Senatorial District (Vote For 1)","RANDY SWARTZMILLER","DEM",12258,39.54,0,31589,4,4,"0","0"
16,"STATE SENATOR, 2nd Senatorial District (Vote For 1)","CHARLES CLEMENTS","REP",18720,62.54,0,31130,6,6,"0","0"
17,"STATE SENATOR, 2nd Senatorial District (Vote For 1)","ERIC M. HAYHURST","DEM",11213,37.46,0,31130,6,6,"0","0"
18,"STATE SENATOR, 3rd Senatorial District (Vote For 1)","MICHAEL AZINGER","REP",20812,65.71,0,32509,4,4,"0","0"
19,"STATE SENATOR, 3rd Senatorial District (Vote For 1)","JODY MURPHY","DEM",10861,34.29,0,32509,4,4,"0","0"
20,"STATE SENATOR, 4th Senatorial District (Vote For 1)","ERIC J. TARR","REP",21059,100.00,0,29709,4,4,"0","0"
21,"STATE SENATOR, 5th Senatorial District (Vote For 1)","MIKE WOELFEL","DEM",13542,53.97,0,26278,2,2,"0","0"
22,"STATE SENATOR, 5th Senatorial District (Vote For 1)","MELISSA CLARK","REP",11552,46.03,0,26278,2,2,"0","0"
23,"STATE SENATOR, 6th Senatorial District (Vote For 1)","MARK R. MAYNARD","REP",17222,73.38,0,25508,4,4,"0","0"
24,"STATE SENATOR, 6th Senatorial District (Vote For 1)","TIFFANY CLEMINS","DEM",6249,26.62,0,25508,4,4,"0","0"
25,"STATE SENATOR, 7th Senatorial District (Vote For 1)","MIKE STUART","REP",13242,58.16,0,23725,4,4,"0","0"
26,"STATE SENATOR, 7th Senatorial District (Vote For 1)","RON STOLLINGS","DEM",9526,41.84,0,23725,4,4,"0","0"
27,"STATE SENATOR, 8th Senatorial District (Vote For 1)","MARK HUNT","REP",14615,56.76,0,27126,5,5,"0","0"
28,"STATE SENATOR, 8th Senatorial District (Vote For 1)","RICHARD  LINDSAY","DEM",11136,43.24,0,27126,5,5,"0","0"
29,"STATE SENATOR, 9th Senatorial District (Vote For 1)","ROLLAN ROBERTS","REP",18540,78.12,0,27097,3,3,"0","0"
30,"STATE SENATOR, 9th Senatorial District (Vote For 1)","KARI WOODSON","LBN",5194,21.88,0,27097,3,3,"0","0"
31,"STATE SENATOR, 10th Senatorial District (Vote For 1)","VINCE DEEDS","REP",18954,58.70,0,33052,5,5,"0","0"
32,"STATE SENATOR, 10th Senatorial District (Vote For 1)","STEPHEN BALDWIN","DEM",12250,37.94,0,33052,5,5,"0","0"
33,"STATE SENATOR, 10th Senatorial District (Vote For 1)","AARON RANSOM","IND",1085,3.36,0,33052,5,5,"0","0"
34,"STATE SENATOR, 11th Senatorial District (Vote For 1)","BILL HAMILTON","REP",23105,100.00,0,29272,7,7,"0","0"
35,"STATE SENATOR, 12th Senatorial District (Vote For 1)","BEN QUEEN","REP",18711,68.69,0,28470,5,5,"0","0"
36,"STATE SENATOR, 12th Senatorial District (Vote For 1)","AUSTIN LYNCH","LBN",8529,31.31,0,28470,5,5,"0","0"
37,"STATE SENATOR, 13th Senatorial District (Vote For 1)","MIKE OLIVERIO","REP",13495,50.29,0,27346,2,2,"0","0"
38,"STATE SENATOR, 13th Senatorial District (Vote For 1)","BARBARA EVANS FLEISCHAUER","DEM",13342,49.71,0,27346,2,2,"0","0"
39,"STATE SENATOR, 14th Senatorial District (Vote For 1)","JAY TAYLOR","REP",21910,76.17,0,28754,6,6,"0","0"
40,"STATE SENATOR, 14th Senatorial District (Vote For 1)","AMANDA JO PITZER","DEM",6855,23.83,0,28754,6,6,"0","0"
41,"STATE SENATOR, 15th Senatorial District (Vote For 1)","CHARLES S. TRUMP IV","REP",21137,80.41,0,29007,3,3,"0","0"
42,"STATE SENATOR, 15th Senatorial District (Vote For 1)","ROBIN MILLS","UPW",5148,19.59,0,29007,3,3,"0","0"
43,"STATE SENATOR, 16th Senatorial District (Vote For 1)","JASON BARRETT","REP",18672,60.49,0,31490,2,2,"0","0"
44,"STATE SENATOR, 16th Senatorial District (Vote For 1)","HANNAH N. GEFFERT","DEM",12196,39.51,0,31490,2,2,"0","0"
45,"STATE SENATOR, 17th Senatorial District (Vote For 1)","TOM TAKUBO","REP",16739,58.45,0,29846,1,1,"0","0"
46,"STATE SENATOR, 17th Senatorial District (Vote For 1)","SAMUEL ""SAM"" WOOD","DEM",11897,41.55,0,29846,1,1,"0","0"
47,"HOUSE OF DELEGATES, 1st District (Vote For 1)","PAT MCGEEHAN","REP",4590,75.84,0,6202,2,2,"0","0"
48,"HOUSE OF DELEGATES, 1st District (Vote For 1)","JACK WOOD","DEM",1462,24.16,0,6202,2,2,"0","0"
49,"HOUSE OF DELEGATES, 2nd District (Vote For 1)","MARK ZATEZALO","REP",3406,67.19,0,5206,2,2,"0","0"
50,"HOUSE OF DELEGATES, 2nd District (Vote For 1)","RONNIE D. JONES","DEM",1663,32.81,0,5206,2,2,"0","0"
51,"HOUSE OF DELEGATES, 3rd District (Vote For 1)","JIMMY WILLIS","REP",2895,54.89,0,5904,2,2,"0","0"
52,"HOUSE OF DELEGATES, 3rd District (Vote For 1)","PHILLIP W. DISERIO","DEM",2379,45.11,0,5904,2,2,"0","0"
53,"HOUSE OF DELEGATES, 4th District (Vote For 1)","ERIKKA STORCH","REP",4811,72.64,0,7410,1,1,"0","0"
54,"HOUSE OF DELEGATES, 4th District (Vote For 1)","TERESA TORISEVA","DEM",1812,27.36,0,7410,1,1,"0","0"
55,"HOUSE OF DELEGATES, 5th District (Vote For 1)","SHAWN FLUHARTY","DEM",2758,54.59,0,5721,1,1,"0","0"
56,"HOUSE OF DELEGATES, 5th District (Vote For 1)","BROOKE E. MCARDLE","REP",2294,45.41,0,5721,1,1,"0","0"
57,"HOUSE OF DELEGATES, 6th District (Vote For 1)","CHARLIE REYNOLDS","REP",3550,61.28,0,5928,1,1,"0","0"
58,"HOUSE OF DELEGATES, 6th District (Vote For 1)","REVA YOST","DEM",2243,38.72,0,5928,1,1,"0","0"
59,"HOUSE OF DELEGATES, 7th District (Vote For 1)","CHARLES R. SHEEDY SR","REP",2948,54.90,0,5472,2,2,"0","0"
60,"HOUSE OF DELEGATES, 7th District (Vote For 1)","LISA ZUKOFF","DEM",2066,38.47,0,5472,2,2,"0","0"
61,"HOUSE OF DELEGATES, 7th District (Vote For 1)","DYLAN PARSONS","MTN",356,6.63,0,5472,2,2,"0","0"
62,"HOUSE OF DELEGATES, 8th District (Vote For 1)","DAVID L. KELLY","REP",4509,100.00,0,5331,3,3,"0","0"
63,"HOUSE OF DELEGATES, 9th District (Vote For 1)","TRENTON CARL BARNHART","REP",5059,100.00,0,5864,3,3,"0","0"
64,"HOUSE OF DELEGATES, 10th District (Vote For 1)","BILL ANDERSON","REP",4133,70.83,0,5955,1,1,"0","0"
65,"HOUSE OF DELEGATES, 10th District (Vote For 1)","J. MORGAN LEACH","DEM",1702,29.17,0,5955,1,1,"0","0"
66,"HOUSE OF DELEGATES, 11th District (Vote For 1)","BOB FEHRENBACHER","REP",3274,58.95,0,5684,1,1,"0","0"
67,"HOUSE OF DELEGATES, 11th District (Vote For 1)","HARRY DEITZLER","DEM",2280,41.05,0,5684,1,1,"0","0"
68,"HOUSE OF DELEGATES, 12th District (Vote For 1)","VERNON CRISS","REP",2467,62.33,0,4083,1,1,"0","0"
69,"HOUSE OF DELEGATES, 12th District (Vote For 1)","JONATHAN DEFIBAUGH","DEM",1196,30.22,0,4083,1,1,"0","0"
70,"HOUSE OF DELEGATES, 12th District (Vote For 1)","STEPHEN THOMAS SMITH","LBN",295,7.45,0,4083,1,1,"0","0"
71,"HOUSE OF DELEGATES, 13th District (Vote For 1)","SCOT HECKERT","REP",3304,72.06,0,4747,1,1,"0","0"
72,"HOUSE OF DELEGATES, 13th District (Vote For 1)","ANDREA ""RED"" GREER","DEM",1281,27.94,0,4747,1,1,"0","0"
73,"HOUSE OF DELEGATES, 14th District (Vote For 1)","DAVE FOGGIN","REP",4231,76.29,0,5696,2,2,"0","0"
74,"HOUSE OF DELEGATES, 14th District (Vote For 1)","JIM MARION","DEM",1315,23.71,0,5696,2,2,"0","0"
75,"HOUSE OF DELEGATES, 15th District (Vote For 1)","RILEY KEATON","REP",3449,69.93,0,5073,2,2,"0","0"
76,"HOUSE OF DELEGATES, 15th District (Vote For 1)","CHUCK CONNER","DEM",1483,30.07,0,5073,2,2,"0","0"
77,"HOUSE OF DELEGATES, 16th District (Vote For 1)","STEVE WESTFALL","REP",4648,100.00,0,5753,1,1,"0","0"
78,"HOUSE OF DELEGATES, 17th District (Vote For 1)","JONATHAN ADAM PINSON","REP",4083,100.00,0,5042,2,2,"0","0"
79,"HOUSE OF DELEGATES, 18th District (Vote For 1)","JIM BUTLER","REP",3476,100.00,0,4582,2,2,"0","0"
80,"HOUSE OF DELEGATES, 19th District (Vote For 1)","KATHIE HESS CROUSE","REP",3082,60.27,0,5299,1,1,"0","0"
81,"HOUSE OF DELEGATES, 19th District (Vote For 1)","SETH KING","DEM",2032,39.73,0,5299,1,1,"0","0"
82,"HOUSE OF DELEGATES, 20th District (Vote For 1)","GEOFF FOSTER","REP",4147,100.00,0,5951,1,1,"0","0"
83,"HOUSE OF DELEGATES, 21st District (Vote For 1)","JARRED CANNON","REP",3502,68.11,0,5372,1,1,"0","0"
84,"HOUSE OF DELEGATES, 21st District (Vote For 1)","THERESA ""TESS"" JACKSON","DEM",1640,31.89,0,5372,1,1,"0","0"
85,"HOUSE OF DELEGATES, 22nd District (Vote For 1)","DANIEL LINVILLE","REP",3495,100.00,0,4459,1,1,"0","0"
86,"HOUSE OF DELEGATES, 23rd District (Vote For 1)","EVAN WORRELL","REP",3028,68.18,0,4591,1,1,"0","0"
87,"HOUSE OF DELEGATES, 23rd District (Vote For 1)","KAREN NANCE","DEM",1413,31.82,0,4591,1,1,"0","0"
88,"HOUSE OF DELEGATES, 24th District (Vote For 1)","PATRICK LUCAS","REP",1914,52.61,0,3736,1,1,"0","0"
89,"HOUSE OF DELEGATES, 24th District (Vote For 1)","ALLY LAYMAN","DEM",1724,47.39,0,3736,1,1,"0","0"
90,"HOUSE OF DELEGATES, 25th District (Vote For 1)","SEAN HORNBUCKLE","DEM",2652,100.00,0,3241,1,1,"0","0"
91,"HOUSE OF DELEGATES, 26th District (Vote For 1)","MATTHEW ROHRBACH","REP",2877,56.68,0,5222,1,1,"0","0"
